locus,kegg_pathway_id,kegg_pathway
sll1841,syn00020,Citrate cycle (TCA cycle)
slr0018,syn00020,Citrate cycle (TCA cycle)
slr0201,syn00020,Citrate cycle (TCA cycle)
slr0665,syn00020,Citrate cycle (TCA cycle)
slr1096,syn00020,Citrate cycle (TCA cycle)
slr1233,syn00020,Citrate cycle (TCA cycle)
slr1289,syn00020,Citrate cycle (TCA cycle)
slr1934,syn00020,Citrate cycle (TCA cycle)
sll0018,syn00030,Pentose phosphate pathway
sll0107,syn00030,Pentose phosphate pathway
sll0329,syn00030,Pentose phosphate pathway
sll0469,syn00030,Pentose phosphate pathway
sll0726,syn00030,Pentose phosphate pathway
sll0745,syn00030,Pentose phosphate pathway
sll0807,syn00030,Pentose phosphate pathway
sll1070,syn00030,Pentose phosphate pathway
sll1196,syn00030,Pentose phosphate pathway
sll1479,syn00030,Pentose phosphate pathway
sll1709,syn00030,Pentose phosphate pathway
sll1776,syn00030,Pentose phosphate pathway
slr0194,syn00030,Pentose phosphate pathway
slr0453,syn00030,Pentose phosphate pathway
slr0943,syn00030,Pentose phosphate pathway
slr0952,syn00030,Pentose phosphate pathway
slr1349,syn00030,Pentose phosphate pathway
slr1793,syn00030,Pentose phosphate pathway
slr1843,syn00030,Pentose phosphate pathway
slr2094,syn00030,Pentose phosphate pathway
ssl2153,syn00030,Pentose phosphate pathway
sll0807,syn00040,Pentose and glucuronate interconversions
slr0942,syn00040,Pentose and glucuronate interconversions
slr1299,syn00040,Pentose and glucuronate interconversions
slr1420,syn00040,Pentose and glucuronate interconversions
sll0018,syn00051,Fructose and mannose metabolism
sll0745,syn00051,Fructose and mannose metabolism
sll1196,syn00051,Fructose and mannose metabolism
sll1212,syn00051,Fructose and mannose metabolism
sll1213,syn00051,Fructose and mannose metabolism
sll1370,syn00051,Fructose and mannose metabolism
sll1496,syn00051,Fructose and mannose metabolism
sll1558,syn00051,Fructose and mannose metabolism
slr0493,syn00051,Fructose and mannose metabolism
slr0783,syn00051,Fructose and mannose metabolism
slr0943,syn00051,Fructose and mannose metabolism
slr0952,syn00051,Fructose and mannose metabolism
slr1072,syn00051,Fructose and mannose metabolism
slr1448,syn00051,Fructose and mannose metabolism
slr2074,syn00051,Fructose and mannose metabolism
slr2094,syn00051,Fructose and mannose metabolism
ssl2153,syn00051,Fructose and mannose metabolism
sll0244,syn00052,Galactose metabolism
sll0593,syn00052,Galactose metabolism
sll0726,syn00052,Galactose metabolism
sll0745,syn00052,Galactose metabolism
sll1196,syn00052,Galactose metabolism
slr0329,syn00052,Galactose metabolism
slr1067,syn00052,Galactose metabolism
slr1078,syn00052,Galactose metabolism
slr0091,syn00053,Ascorbate and aldarate metabolism
slr0942,syn00053,Ascorbate and aldarate metabolism
slr1299,syn00053,Ascorbate and aldarate metabolism
sll0053,syn00061,Fatty acid biosynthesis
sll0336,syn00061,Fatty acid biosynthesis
sll0728,syn00061,Fatty acid biosynthesis
sll1069,syn00061,Fatty acid biosynthesis
sll1605,syn00061,Fatty acid biosynthesis
sll5079,syn00061,Fatty acid biosynthesis
slr0435,syn00061,Fatty acid biosynthesis
slr0886,syn00061,Fatty acid biosynthesis
slr1051,syn00061,Fatty acid biosynthesis
slr1332,syn00061,Fatty acid biosynthesis
slr1511,syn00061,Fatty acid biosynthesis
slr1609,syn00061,Fatty acid biosynthesis
slr2023,syn00061,Fatty acid biosynthesis
sll0990,syn00071,Fatty acid degradation
slr0091,syn00071,Fatty acid degradation
slr1609,syn00071,Fatty acid degradation
slr1993,syn00071,Fatty acid degradation
sll0513,syn00100,Steroid biosynthesis
sll0409,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
sll0418,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
sll0603,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
sll0936,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
sll1127,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
sll1653,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
sll1797,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr0089,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr0090,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr0204,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr0492,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr0817,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr0926,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr1099,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr1300,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr1518,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr1736,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr1737,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
slr1743,syn00130,Ubiquinone and other terpenoid-quinone biosynthesis
sll0026,syn00190,Oxidative phosphorylation
sll0027,syn00190,Oxidative phosphorylation
sll0223,syn00190,Oxidative phosphorylation
sll0290,syn00190,Oxidative phosphorylation
sll0519,syn00190,Oxidative phosphorylation
sll0520,syn00190,Oxidative phosphorylation
sll0521,syn00190,Oxidative phosphorylation
sll0522,syn00190,Oxidative phosphorylation
sll0813,syn00190,Oxidative phosphorylation
sll0823,syn00190,Oxidative phosphorylation
sll1220,syn00190,Oxidative phosphorylation
sll1221,syn00190,Oxidative phosphorylation
sll1223,syn00190,Oxidative phosphorylation
sll1262,syn00190,Oxidative phosphorylation
sll1322,syn00190,Oxidative phosphorylation
sll1323,syn00190,Oxidative phosphorylation
sll1324,syn00190,Oxidative phosphorylation
sll1325,syn00190,Oxidative phosphorylation
sll1326,syn00190,Oxidative phosphorylation
sll1327,syn00190,Oxidative phosphorylation
sll1484,syn00190,Oxidative phosphorylation
sll1625,syn00190,Oxidative phosphorylation
sll1732,syn00190,Oxidative phosphorylation
sll1733,syn00190,Oxidative phosphorylation
sll1898,syn00190,Oxidative phosphorylation
sll1899,syn00190,Oxidative phosphorylation
slr0201,syn00190,Oxidative phosphorylation
slr0261,syn00190,Oxidative phosphorylation
slr0331,syn00190,Oxidative phosphorylation
slr0844,syn00190,Oxidative phosphorylation
slr0851,syn00190,Oxidative phosphorylation
slr1136,syn00190,Oxidative phosphorylation
slr1137,syn00190,Oxidative phosphorylation
slr1138,syn00190,Oxidative phosphorylation
slr1233,syn00190,Oxidative phosphorylation
slr1279,syn00190,Oxidative phosphorylation
slr1280,syn00190,Oxidative phosphorylation
slr1281,syn00190,Oxidative phosphorylation
slr1291,syn00190,Oxidative phosphorylation
slr1329,syn00190,Oxidative phosphorylation
slr1330,syn00190,Oxidative phosphorylation
slr1379,syn00190,Oxidative phosphorylation
slr1380,syn00190,Oxidative phosphorylation
slr1622,syn00190,Oxidative phosphorylation
slr1623,syn00190,Oxidative phosphorylation
slr2082,syn00190,Oxidative phosphorylation
slr2083,syn00190,Oxidative phosphorylation
ssl2615,syn00190,Oxidative phosphorylation
ssr1386,syn00190,Oxidative phosphorylation
sll0199,syn00195,Photosynthesis
sll0258,syn00195,Photosynthesis
sll0427,syn00195,Photosynthesis
sll0629,syn00195,Photosynthesis
sll0819,syn00195,Photosynthesis
sll0849,syn00195,Photosynthesis
sll0851,syn00195,Photosynthesis
sll1182,syn00195,Photosynthesis
sll1194,syn00195,Photosynthesis
sll1281,syn00195,Photosynthesis
sll1316,syn00195,Photosynthesis
sll1317,syn00195,Photosynthesis
sll1322,syn00195,Photosynthesis
sll1323,syn00195,Photosynthesis
sll1324,syn00195,Photosynthesis
sll1325,syn00195,Photosynthesis
sll1326,syn00195,Photosynthesis
sll1327,syn00195,Photosynthesis
sll1382,syn00195,Photosynthesis
sll1398,syn00195,Photosynthesis
sll1418,syn00195,Photosynthesis
sll1796,syn00195,Photosynthesis
sll1867,syn00195,Photosynthesis
slr0150,syn00195,Photosynthesis
slr0342,syn00195,Photosynthesis
slr0343,syn00195,Photosynthesis
slr0737,syn00195,Photosynthesis
slr0906,syn00195,Photosynthesis
slr0927,syn00195,Photosynthesis
slr1181,syn00195,Photosynthesis
slr1185,syn00195,Photosynthesis
slr1311,syn00195,Photosynthesis
slr1329,syn00195,Photosynthesis
slr1330,syn00195,Photosynthesis
slr1643,syn00195,Photosynthesis
slr1645,syn00195,Photosynthesis
slr1655,syn00195,Photosynthesis
slr1739,syn00195,Photosynthesis
slr1828,syn00195,Photosynthesis
slr1834,syn00195,Photosynthesis
slr1835,syn00195,Photosynthesis
sml0001,syn00195,Photosynthesis
sml0002,syn00195,Photosynthesis
sml0003,syn00195,Photosynthesis
sml0004,syn00195,Photosynthesis
sml0005,syn00195,Photosynthesis
sml0007,syn00195,Photosynthesis
sml0008,syn00195,Photosynthesis
smr0001,syn00195,Photosynthesis
smr0003,syn00195,Photosynthesis
smr0004,syn00195,Photosynthesis
smr0005,syn00195,Photosynthesis
smr0006,syn00195,Photosynthesis
smr0007,syn00195,Photosynthesis
smr0008,syn00195,Photosynthesis
smr0010,syn00195,Photosynthesis
ssl0020,syn00195,Photosynthesis
ssl0563,syn00195,Photosynthesis
ssl2598,syn00195,Photosynthesis
ssl2615,syn00195,Photosynthesis
ssr0390,syn00195,Photosynthesis
ssr2831,syn00195,Photosynthesis
ssr3451,syn00195,Photosynthesis
sll0928,syn00196,Photosynthesis - antenna proteins
sll1051,syn00196,Photosynthesis - antenna proteins
sll1471,syn00196,Photosynthesis - antenna proteins
sll1577,syn00196,Photosynthesis - antenna proteins
sll1578,syn00196,Photosynthesis - antenna proteins
sll1579,syn00196,Photosynthesis - antenna proteins
sll1580,syn00196,Photosynthesis - antenna proteins
slr0335,syn00196,Photosynthesis - antenna proteins
slr1459,syn00196,Photosynthesis - antenna proteins
slr1878,syn00196,Photosynthesis - antenna proteins
slr1986,syn00196,Photosynthesis - antenna proteins
slr2051,syn00196,Photosynthesis - antenna proteins
slr2067,syn00196,Photosynthesis - antenna proteins
ssl3093,syn00196,Photosynthesis - antenna proteins
ssr3383,syn00196,Photosynthesis - antenna proteins
sll0080,syn00220,Arginine biosynthesis
sll0402,syn00220,Arginine biosynthesis
sll0420,syn00220,Arginine biosynthesis
sll0573,syn00220,Arginine biosynthesis
sll0902,syn00220,Arginine biosynthesis
sll1750,syn00220,Arginine biosynthesis
sll1883,syn00220,Arginine biosynthesis
slr0288,syn00220,Arginine biosynthesis
slr0520,syn00220,Arginine biosynthesis
slr0585,syn00220,Arginine biosynthesis
slr0710,syn00220,Arginine biosynthesis
slr1022,syn00220,Arginine biosynthesis
slr1133,syn00220,Arginine biosynthesis
slr1256,syn00220,Arginine biosynthesis
slr1756,syn00220,Arginine biosynthesis
slr1898,syn00220,Arginine biosynthesis
slr2079,syn00220,Arginine biosynthesis
sll0398,syn00230,Purine metabolism
sll0420,syn00230,Purine metabolism
sll0421,syn00230,Purine metabolism
sll0469,syn00230,Purine metabolism
sll0509,syn00230,Purine metabolism
sll0573,syn00230,Purine metabolism
sll0578,syn00230,Purine metabolism
sll0646,syn00230,Purine metabolism
sll0726,syn00230,Purine metabolism
sll0757,syn00230,Purine metabolism
sll0901,syn00230,Purine metabolism
sll1054,syn00230,Purine metabolism
sll1056,syn00230,Purine metabolism
sll1059,syn00230,Purine metabolism
sll1108,syn00230,Purine metabolism
sll1161,syn00230,Purine metabolism
sll1430,syn00230,Purine metabolism
sll1459,syn00230,Purine metabolism
sll1546,syn00230,Purine metabolism
sll1750,syn00230,Purine metabolism
sll1815,syn00230,Purine metabolism
sll1823,syn00230,Purine metabolism
sll1852,syn00230,Purine metabolism
slr0213,syn00230,Purine metabolism
slr0306,syn00230,Purine metabolism
slr0402,syn00230,Purine metabolism
slr0477,syn00230,Purine metabolism
slr0519,syn00230,Purine metabolism
slr0520,syn00230,Purine metabolism
slr0591,syn00230,Purine metabolism
slr0597,syn00230,Purine metabolism
slr0676,syn00230,Purine metabolism
slr0838,syn00230,Purine metabolism
slr0861,syn00230,Purine metabolism
slr1123,syn00230,Purine metabolism
slr1134,syn00230,Purine metabolism
slr1159,syn00230,Purine metabolism
slr1164,syn00230,Purine metabolism
slr1165,syn00230,Purine metabolism
slr1226,syn00230,Purine metabolism
slr1256,syn00230,Purine metabolism
slr1325,syn00230,Purine metabolism
slr1573,syn00230,Purine metabolism
slr1722,syn00230,Purine metabolism
slr1991,syn00230,Purine metabolism
sll0144,syn00240,Pyrimidine metabolism
sll0368,syn00240,Pyrimidine metabolism
sll0370,syn00240,Pyrimidine metabolism
sll0744,syn00240,Pyrimidine metabolism
sll0838,syn00240,Pyrimidine metabolism
sll0905,syn00240,Pyrimidine metabolism
sll1018,syn00240,Pyrimidine metabolism
sll1035,syn00240,Pyrimidine metabolism
sll1108,syn00240,Pyrimidine metabolism
sll1249,syn00240,Pyrimidine metabolism
sll1258,syn00240,Pyrimidine metabolism
sll1443,syn00240,Pyrimidine metabolism
sll1459,syn00240,Pyrimidine metabolism
sll1498,syn00240,Pyrimidine metabolism
sll1635,syn00240,Pyrimidine metabolism
sll1852,syn00240,Pyrimidine metabolism
slr0185,syn00240,Pyrimidine metabolism
slr0306,syn00240,Pyrimidine metabolism
slr0379,syn00240,Pyrimidine metabolism
slr0406,syn00240,Pyrimidine metabolism
slr0591,syn00240,Pyrimidine metabolism
slr1164,syn00240,Pyrimidine metabolism
slr1237,syn00240,Pyrimidine metabolism
slr1418,syn00240,Pyrimidine metabolism
slr1476,syn00240,Pyrimidine metabolism
slr1616,syn00240,Pyrimidine metabolism
sll0220,syn00250,"Alanine, aspartate and glutamate metabolism"
sll0370,syn00250,"Alanine, aspartate and glutamate metabolism"
sll0402,syn00250,"Alanine, aspartate and glutamate metabolism"
sll0421,syn00250,"Alanine, aspartate and glutamate metabolism"
sll0422,syn00250,"Alanine, aspartate and glutamate metabolism"
sll0585,syn00250,"Alanine, aspartate and glutamate metabolism"
sll0631,syn00250,"Alanine, aspartate and glutamate metabolism"
sll0757,syn00250,"Alanine, aspartate and glutamate metabolism"
sll1027,syn00250,"Alanine, aspartate and glutamate metabolism"
sll1498,syn00250,"Alanine, aspartate and glutamate metabolism"
sll1561,syn00250,"Alanine, aspartate and glutamate metabolism"
sll1641,syn00250,"Alanine, aspartate and glutamate metabolism"
sll1682,syn00250,"Alanine, aspartate and glutamate metabolism"
sll1823,syn00250,"Alanine, aspartate and glutamate metabolism"
slr0288,syn00250,"Alanine, aspartate and glutamate metabolism"
slr0370,syn00250,"Alanine, aspartate and glutamate metabolism"
slr0520,syn00250,"Alanine, aspartate and glutamate metabolism"
slr0585,syn00250,"Alanine, aspartate and glutamate metabolism"
slr0710,syn00250,"Alanine, aspartate and glutamate metabolism"
slr1133,syn00250,"Alanine, aspartate and glutamate metabolism"
slr1476,syn00250,"Alanine, aspartate and glutamate metabolism"
slr1616,syn00250,"Alanine, aspartate and glutamate metabolism"
slr1705,syn00250,"Alanine, aspartate and glutamate metabolism"
slr1756,syn00250,"Alanine, aspartate and glutamate metabolism"
slr2079,syn00250,"Alanine, aspartate and glutamate metabolism"
sll0171,syn00260,"Glycine, serine and threonine metabolism"
sll0455,syn00260,"Glycine, serine and threonine metabolism"
sll1172,syn00260,"Glycine, serine and threonine metabolism"
sll1688,syn00260,"Glycine, serine and threonine metabolism"
sll1760,syn00260,"Glycine, serine and threonine metabolism"
sll1908,syn00260,"Glycine, serine and threonine metabolism"
sll1931,syn00260,"Glycine, serine and threonine metabolism"
slr0293,syn00260,"Glycine, serine and threonine metabolism"
slr0543,syn00260,"Glycine, serine and threonine metabolism"
slr0549,syn00260,"Glycine, serine and threonine metabolism"
slr0657,syn00260,"Glycine, serine and threonine metabolism"
slr0879,syn00260,"Glycine, serine and threonine metabolism"
slr0966,syn00260,"Glycine, serine and threonine metabolism"
slr1096,syn00260,"Glycine, serine and threonine metabolism"
slr1124,syn00260,"Glycine, serine and threonine metabolism"
slr1840,syn00260,"Glycine, serine and threonine metabolism"
slr1945,syn00260,"Glycine, serine and threonine metabolism"
slr2072,syn00260,"Glycine, serine and threonine metabolism"
sll1058,syn00261,Monobactam biosynthesis
slr0549,syn00261,Monobactam biosynthesis
slr0550,syn00261,Monobactam biosynthesis
slr0657,syn00261,Monobactam biosynthesis
slr1165,syn00261,Monobactam biosynthesis
sll0135,syn00270,Cysteine and methionine metabolism
sll0402,syn00270,Cysteine and methionine metabolism
sll0455,syn00270,Cysteine and methionine metabolism
sll0712,syn00270,Cysteine and methionine metabolism
sll0891,syn00270,Cysteine and methionine metabolism
sll0927,syn00270,Cysteine and methionine metabolism
sll1234,syn00270,Cysteine and methionine metabolism
sll1908,syn00270,Cysteine and methionine metabolism
slr0032,syn00270,Cysteine and methionine metabolism
slr0212,syn00270,Cysteine and methionine metabolism
slr0214,syn00270,Cysteine and methionine metabolism
slr0549,syn00270,Cysteine and methionine metabolism
slr0657,syn00270,Cysteine and methionine metabolism
slr0689,syn00270,Cysteine and methionine metabolism
slr1238,syn00270,Cysteine and methionine metabolism
slr1348,syn00270,Cysteine and methionine metabolism
slr1573,syn00270,Cysteine and methionine metabolism
slr1842,syn00270,Cysteine and methionine metabolism
slr1938,syn00270,Cysteine and methionine metabolism
slr2059,syn00270,Cysteine and methionine metabolism
slr0032,syn00280,"Valine, leucine and isoleucine degradation"
slr0091,syn00280,"Valine, leucine and isoleucine degradation"
slr0229,syn00280,"Valine, leucine and isoleucine degradation"
slr1096,syn00280,"Valine, leucine and isoleucine degradation"
slr1993,syn00280,"Valine, leucine and isoleucine degradation"
sll0065,syn00290,"Valine, leucine and isoleucine biosynthesis"
sll1363,syn00290,"Valine, leucine and isoleucine biosynthesis"
sll1444,syn00290,"Valine, leucine and isoleucine biosynthesis"
sll1470,syn00290,"Valine, leucine and isoleucine biosynthesis"
sll1564,syn00290,"Valine, leucine and isoleucine biosynthesis"
sll1981,syn00290,"Valine, leucine and isoleucine biosynthesis"
slr0032,syn00290,"Valine, leucine and isoleucine biosynthesis"
slr0186,syn00290,"Valine, leucine and isoleucine biosynthesis"
slr0452,syn00290,"Valine, leucine and isoleucine biosynthesis"
slr1517,syn00290,"Valine, leucine and isoleucine biosynthesis"
slr2072,syn00290,"Valine, leucine and isoleucine biosynthesis"
slr2088,syn00290,"Valine, leucine and isoleucine biosynthesis"
sll0006,syn00300,Lysine biosynthesis
sll0455,syn00300,Lysine biosynthesis
sll0480,syn00300,Lysine biosynthesis
sll0504,syn00300,Lysine biosynthesis
sll1058,syn00300,Lysine biosynthesis
slr0049,syn00300,Lysine biosynthesis
slr0528,syn00300,Lysine biosynthesis
slr0549,syn00300,Lysine biosynthesis
slr0550,syn00300,Lysine biosynthesis
slr0657,syn00300,Lysine biosynthesis
slr1022,syn00300,Lysine biosynthesis
slr1351,syn00300,Lysine biosynthesis
slr1665,syn00300,Lysine biosynthesis
sll1495,syn00310,Lysine degradation
slr0049,syn00310,Lysine degradation
slr0091,syn00310,Lysine degradation
slr0370,syn00310,Lysine degradation
slr1096,syn00310,Lysine degradation
slr1993,syn00310,Lysine degradation
sll0228,syn00330,Arginine and proline metabolism
sll0373,syn00330,Arginine and proline metabolism
sll0402,syn00330,Arginine and proline metabolism
sll0461,syn00330,Arginine and proline metabolism
sll0828,syn00330,Arginine and proline metabolism
sll0873,syn00330,Arginine and proline metabolism
sll1077,syn00330,Arginine and proline metabolism
sll1561,syn00330,Arginine and proline metabolism
slr0091,syn00330,Arginine and proline metabolism
slr0596,syn00330,Arginine and proline metabolism
slr0661,syn00330,Arginine and proline metabolism
slr0662,syn00330,Arginine and proline metabolism
slr1237,syn00330,Arginine and proline metabolism
slr1312,syn00330,Arginine and proline metabolism
slr2035,syn00330,Arginine and proline metabolism
sll0373,syn00332,Carbapenem biosynthesis
sll0461,syn00332,Carbapenem biosynthesis
slr2035,syn00332,Carbapenem biosynthesis
sll0900,syn00340,Histidine metabolism
sll1893,syn00340,Histidine metabolism
sll1958,syn00340,Histidine metabolism
slr0084,syn00340,Histidine metabolism
slr0091,syn00340,Histidine metabolism
slr0500,syn00340,Histidine metabolism
slr0608,syn00340,Histidine metabolism
slr0652,syn00340,Histidine metabolism
slr0682,syn00340,Histidine metabolism
slr0865,syn00340,Histidine metabolism
slr1560,syn00340,Histidine metabolism
slr1705,syn00340,Histidine metabolism
slr1848,syn00340,Histidine metabolism
sll0402,syn00350,Tyrosine metabolism
sll0990,syn00350,Tyrosine metabolism
sll1958,syn00350,Tyrosine metabolism
slr0090,syn00350,Tyrosine metabolism
slr0370,syn00350,Tyrosine metabolism
sll0402,syn00360,Phenylalanine metabolism
sll0828,syn00360,Phenylalanine metabolism
sll1958,syn00360,Phenylalanine metabolism
sll1987,syn00360,Phenylalanine metabolism
slr0090,syn00360,Phenylalanine metabolism
sll1298,syn00361,Chlorocyclohexane and chlorobenzene degradation
sll1298,syn00364,Fluorobenzoate degradation
sll0784,syn00380,Tryptophan metabolism
sll0828,syn00380,Tryptophan metabolism
sll1987,syn00380,Tryptophan metabolism
slr0091,syn00380,Tryptophan metabolism
slr1096,syn00380,Tryptophan metabolism
slr1993,syn00380,Tryptophan metabolism
slr2121,syn00380,Tryptophan metabolism
sll0109,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
sll0356,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
sll0402,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
sll0934,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
sll1112,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
sll1662,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
sll1669,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
sll1747,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
sll1958,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
slr0055,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
slr0444,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
slr0543,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
slr0546,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
slr0738,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
slr0966,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
slr1867,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
slr2081,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
slr2130,syn00400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
sll0402,syn00401,Novobiocin biosynthesis
sll1958,syn00401,Novobiocin biosynthesis
slr0055,syn00405,Phenazine biosynthesis
slr0738,syn00405,Phenazine biosynthesis
slr1019,syn00405,Phenazine biosynthesis
sll0892,syn00410,beta-Alanine metabolism
sll1249,syn00410,beta-Alanine metabolism
sll1641,syn00410,beta-Alanine metabolism
slr0091,syn00410,beta-Alanine metabolism
sll1299,syn00430,Taurine and hypotaurine metabolism
sll1641,syn00430,Taurine and hypotaurine metabolism
sll1682,syn00430,Taurine and hypotaurine metabolism
slr1269,syn00430,Taurine and hypotaurine metabolism
slr2132,syn00430,Taurine and hypotaurine metabolism
slr0077,syn00450,Selenocompound metabolism
slr0212,syn00450,Selenocompound metabolism
slr0600,syn00450,Selenocompound metabolism
slr0649,syn00450,Selenocompound metabolism
slr1165,syn00450,Selenocompound metabolism
sll0422,syn00460,Cyanoamino acid metabolism
sll0585,syn00460,Cyanoamino acid metabolism
sll0784,syn00460,Cyanoamino acid metabolism
sll1538,syn00460,Cyanoamino acid metabolism
sll1931,syn00460,Cyanoamino acid metabolism
slr1269,syn00460,Cyanoamino acid metabolism
sll0504,syn00470,D-Amino acid metabolism
sll2010,syn00470,D-Amino acid metabolism
slr0520,syn00470,D-Amino acid metabolism
slr0827,syn00470,D-Amino acid metabolism
slr1665,syn00470,D-Amino acid metabolism
slr1746,syn00470,D-Amino acid metabolism
slr1874,syn00470,D-Amino acid metabolism
slr2079,syn00470,D-Amino acid metabolism
sll0067,syn00480,Glutathione metabolism
sll0329,syn00480,Glutathione metabolism
sll1147,syn00480,Glutathione metabolism
sll1343,syn00480,Glutathione metabolism
sll1545,syn00480,Glutathione metabolism
sll1902,syn00480,Glutathione metabolism
sll2001,syn00480,Glutathione metabolism
slr0697,syn00480,Glutathione metabolism
slr1238,syn00480,Glutathione metabolism
slr1269,syn00480,Glutathione metabolism
slr1289,syn00480,Glutathione metabolism
slr1843,syn00480,Glutathione metabolism
sll0045,syn00500,Starch and sucrose metabolism
sll0158,syn00500,Starch and sucrose metabolism
sll0593,syn00500,Starch and sucrose metabolism
sll0726,syn00500,Starch and sucrose metabolism
sll0735,syn00500,Starch and sucrose metabolism
sll0842,syn00500,Starch and sucrose metabolism
sll0945,syn00500,Starch and sucrose metabolism
sll1356,syn00500,Starch and sucrose metabolism
sll1393,syn00500,Starch and sucrose metabolism
sll1538,syn00500,Starch and sucrose metabolism
sll1676,syn00500,Starch and sucrose metabolism
slr0237,syn00500,Starch and sucrose metabolism
slr0329,syn00500,Starch and sucrose metabolism
slr0897,syn00500,Starch and sucrose metabolism
slr0953,syn00500,Starch and sucrose metabolism
slr0983,syn00500,Starch and sucrose metabolism
slr1176,syn00500,Starch and sucrose metabolism
slr1349,syn00500,Starch and sucrose metabolism
slr1367,syn00500,Starch and sucrose metabolism
slr1448,syn00500,Starch and sucrose metabolism
slr1857,syn00500,Starch and sucrose metabolism
sll1775,syn00511,Other glycan degradation
slr0323,syn00511,Other glycan degradation
slr1050,syn00514,Other types of O-glycan biosynthesis
slr1050,syn00515,Mannose type O-glycan biosynthesis
sll0220,syn00520,Amino sugar and nucleotide sugar metabolism
sll0244,syn00520,Amino sugar and nucleotide sugar metabolism
