uniprot_id,entry_name,protein,gene_name,organism,length,gene_names_(ordered_locus),gene_name_short,pathway,gene_ontology_ids,subcellular_location_[cc],interacts_with,locus
P73069,YCF48_SYNY3,Photosystem II assembly lipoprotein Ycf48,ycf48 slr2034,Synechocystis sp. (strain PCC 6803 / Kazusa),342,slr2034,ycf48,NA,GO:0010207,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01348, ECO:0000269|PubMed:18550538, ECO:0000269|PubMed:33918522}; Lipid-anchor {ECO:0000269|PubMed:33918522}; Lumenal side {ECO:0000269|PubMed:30061392}. Note=Associated with a PSII precusor complex on the lumenal side of the thylakoid membrane. {ECO:0000255|HAMAP-Rule:MF_01348, ECO:0000269|PubMed:30061392}.",NA,slr2034
P73276,HIK2_SYNY3,Sensor histidine kinase Hik2 (EC 2.7.13.3) (CSK),hik2 slr1147,Synechocystis sp. (strain PCC 6803 / Kazusa),434,slr1147,hik2,NA,GO:0000155; GO:0005737; GO:0005887; GO:0009927; GO:0046777; GO:0046872; GO:0051538,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:15471853}.,NA,slr1147
P73722,LEXA_SYNY3,Transcription regulator LexA (LexA-related repressor),lexA sll1626,Synechocystis sp. (strain PCC 6803 / Kazusa),203,sll1626,lexA,NA,GO:0004252; GO:0005737; GO:0006260; GO:0006508; GO:0009432; GO:0032993; GO:0043565; GO:0045892; GO:0045893,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21642463}. Note=Localized in the innermost region of the cytoplasm, associated with DNA in an evenly distributed pattern no changes are seen when cells are grown in the dark. {ECO:0000269|PubMed:21642463}.",NA,sll1626
P73832,CPHB_SYNY3,Cyanophycinase (EC 3.4.15.6),cphB slr2001,Synechocystis sp. (strain PCC 6803 / Kazusa),271,slr2001,cphB,NA,GO:0006508; GO:0008236; GO:0042803; GO:0044260,NA,NA,slr2001
P73911,KATG_SYNY3,Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase),katG sll1987,Synechocystis sp. (strain PCC 6803 / Kazusa),754,sll1987,katG,NA,GO:0004096; GO:0005829; GO:0020037; GO:0042744; GO:0046872; GO:0070301,NA,NA,sll1987
P74102,OCP_SYNY3,Orange carotenoid-binding protein (OCP) [Cleaved into: Red carotenoid-binding protein (RCP)],slr1963,Synechocystis sp. (strain PCC 6803 / Kazusa),317,slr1963,NA,NA,GO:0009881; GO:0016037; GO:0030089; GO:0031404; GO:0031676,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000269|PubMed:16531492}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000269|PubMed:16531492}. Note=Associated with the phycobilisome on the cytoplasmic side of the thylakoid membrane (PubMed:16531492). {ECO:0000269|PubMed:16531492}.,P74103,slr1963
P74132,HEMN_SYNY3,Oxygen-independent coproporphyrinogen III oxidase (CPO) (EC 1.3.98.3) (Coproporphyrinogen III dehydrogenase) (CPDH),hemN sll1876,Synechocystis sp. (strain PCC 6803 / Kazusa),466,sll1876,hemN,PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; protoporphyrinogen-IX from coproporphyrinogen-III (AdoMet route): step 1/1.,GO:0004109; GO:0005737; GO:0006779; GO:0006782; GO:0015995; GO:0046872; GO:0051539; GO:0051989,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P32131}.,NA,sll1876
P74308,AKR_SYNY3,Aldo/keto reductase slr0942 (AKR) (EC 1.1.1.184) (AKR3G1),slr0942,Synechocystis sp. (strain PCC 6803 / Kazusa),327,slr0942,NA,NA,GO:0004032; GO:0004033; GO:0004090; GO:0005829; GO:0070402,NA,NA,slr0942
P74312,ARREH_SYNY3,NADPH-dependent quinone reductase ArsH (EC 1.6.5.2) (Arsenical resistance operon protein ArsH),arsH slr0945,Synechocystis sp. (strain PCC 6803 / Kazusa),206,slr0945,arsH,NA,GO:0003955; GO:0008753; GO:0010038; GO:0010181; GO:0050136; GO:0051289; GO:0052851,NA,NA,slr0945
P74313,ARSC_SYNY3,Glutaredoxin arsenate reductase (EC 1.20.4.1) (Low molecular weight protein-tyrosine-phosphatase) (EC 3.1.3.48) (Protein ArsC) (SynArsC) (rSynArsC),arsC slr0946,Synechocystis sp. (strain PCC 6803 / Kazusa),131,slr0946,arsC,NA,GO:0004725; GO:0008794; GO:0046685,NA,NA,slr0946
P74383,ASGX_SYNY3,Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase subunit alpha; Isoaspartyl peptidase/L-asparaginase subunit beta],sll0422,Synechocystis sp. (strain PCC 6803 / Kazusa),329,sll0422,NA,NA,GO:0004067; GO:0005737; GO:0008798; GO:0016540,NA,NA,sll0422
P74721,ADHA_SYNY3,Aldehyde reductase AdhA (EC 1.1.1.2) (Alcohol dehydrogenase AdhA),adhA slr1192,Synechocystis sp. (strain PCC 6803 / Kazusa),336,slr1192,adhA,NA,GO:0005737; GO:0008106; GO:0008270; GO:0016616,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:19411329}.,NA,slr1192
P77961,GLN1B_SYNY3,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta),glnA slr1756,Synechocystis sp. (strain PCC 6803 / Kazusa),473,slr1756,glnA,NA,GO:0004356; GO:0005524; GO:0005737; GO:0006542; GO:0016020; GO:0019740; GO:0046872,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P9WN39}.,NA,slr1756
P80505,G3P2_SYNY3,Glyceraldehyde-3-phosphate dehydrogenase 2 (EC 1.2.1.59) (GAPDH 2) (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase),gap2 sll1342,Synechocystis sp. (strain PCC 6803 / Kazusa),337,sll1342,gap2,PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 1/5. {ECO:0000305}.,GO:0004365; GO:0005737; GO:0006006; GO:0006096; GO:0047100; GO:0050661; GO:0051287,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,NA,sll1342
P80507,IPYR_SYNY3,Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase),ppa ipyR slr1622,Synechocystis sp. (strain PCC 6803 / Kazusa),169,slr1622,ppa,NA,GO:0000287; GO:0004427; GO:0005829; GO:0006796,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00209}.,NA,slr1622
Q54735,CYNT_SYNY3,Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase),ccaA icfA slr1347,Synechocystis sp. (strain PCC 6803 / Kazusa),274,slr1347,ccaA,NA,GO:0004089; GO:0008270; GO:0015976; GO:0015977; GO:0015979; GO:0031470; GO:0042802,"SUBCELLULAR LOCATION: Carboxysome {ECO:0000269|PubMed:11859847, ECO:0000269|PubMed:17993516, ECO:0000269|PubMed:9617794}. Note=This cyanobacterium makes beta-type carboxysomes. Associates with the shell portion of carboxysomes. {ECO:0000269|PubMed:17993516}.",Q54735; P72758,slr1347
Q55013,CY550_SYNY3,Cytochrome c-550 (Cytochrome c549) (Cytochrome c550) (Low-potential cytochrome c),psbV petK sll0258,Synechocystis sp. (strain PCC 6803 / Kazusa),160,sll0258,psbV,NA,GO:0005506; GO:0009055; GO:0018063; GO:0019684; GO:0020037; GO:0022904; GO:0030096; GO:0031676,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000269|PubMed:12069591, ECO:0000305}; Peripheral membrane protein {ECO:0000269|PubMed:12069591, ECO:0000305}; Lumenal side {ECO:0000305|PubMed:7896839}. Note=Associated with photosystem II at the lumenal side of the thylakoid membrane. {ECO:0000305|PubMed:7896839}.",NA,sll0258
Q55168,PHY1_SYNY3,Phytochrome-like protein Cph1 (EC 2.7.13.3) (Bacteriophytochrome Cph1) (Light-regulated histidine kinase 1),cph1 slr0473,Synechocystis sp. (strain PCC 6803 / Kazusa),748,slr0473,cph1,NA,GO:0000155; GO:0004673; GO:0005524; GO:0006355; GO:0009584; GO:0009585; GO:0009639; GO:0009883; GO:0042802; GO:0046777,NA,Q55168; Q55169,slr0473
Q55354,PSBL_SYNY3,Photosystem II reaction center protein L (PSII-L),psbL smr0007,Synechocystis sp. (strain PCC 6803 / Kazusa),39,smr0007,psbL,NA,GO:0009539; GO:0015979; GO:0016021; GO:0030096; GO:0031676,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01317, ECO:0000269|PubMed:12069591}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01317}.",NA,smr0007
Q55389,FTRC_SYNY3,"Ferredoxin-thioredoxin reductase, catalytic chain (FTR-C) (EC 1.8.7.2) (Ferredoxin-thioredoxin reductase subunit B) (FTR-B)",ftrC sll0554,Synechocystis sp. (strain PCC 6803 / Kazusa),118,NA,ftrC,NA,GO:0009055; GO:0015979; GO:0016730; GO:0046872; GO:0051539; GO:0103012,NA,Q55781; P27320; P07591; P09856,sll0554
Q55415,BICA_SYNY3,Bicarbonate transporter BicA,bicA sll0834,Synechocystis sp. (strain PCC 6803 / Kazusa),564,sll0834,bicA,NA,GO:0005886; GO:0006814; GO:0015138; GO:0015141; GO:0015183; GO:0015741; GO:0016021; GO:0046872; GO:0071422,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:31712753}; Multi-pass membrane protein {ECO:0000269|PubMed:31712753}.,NA,sll0834
Q55650,BIOU_SYNY3,(S)-8-amino-7-oxononanoate synthase BioU (EC 2.6.1.-) (8-amino-7-oxononanoate carboxylating dehydrogenase),bioU slr0355,Synechocystis sp. (strain PCC 6803 / Kazusa),331,slr0355,bioU,"PATHWAY: Cofactor biosynthesis; biotin biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00852, ECO:0000269|PubMed:32042199}.",GO:0006520; GO:0008483; GO:0009102; GO:0016491; GO:0050661; GO:0051287,NA,NA,slr0355
Q55700,FTSH2_SYNY3,ATP-dependent zinc metalloprotease FtsH 2 (EC 3.4.24.-),ftsH2 slr0228,Synechocystis sp. (strain PCC 6803 / Kazusa),627,slr0228,ftsH2,NA,GO:0004176; GO:0004222; GO:0005524; GO:0006508; GO:0008270; GO:0009579; GO:0010206; GO:0016021; GO:0016887; GO:0030163; GO:0042651,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000269|PubMed:12069591, ECO:0000269|PubMed:12953117}; Multi-pass membrane protein {ECO:0000269|PubMed:12069591, ECO:0000269|PubMed:12953117}; Stromal side {ECO:0000269|PubMed:12069591, ECO:0000269|PubMed:12953117}. Note=A fraction is found associated with PSII. Localization to the cell inner membrane has been specifically tested and not seen.",NA,slr0228
Q55721,FBT_SYNY3,Folate-biopterin transporter,slr0642,Synechocystis sp. (strain PCC 6803 / Kazusa),494,slr0642,NA,NA,GO:0005886; GO:0008517; GO:0015231; GO:0015350; GO:0015884; GO:0015885; GO:0016021; GO:0051958,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,NA,slr0642
Q55804,CRHR_SYNY3,RNA helicase CrhR (EC 3.6.4.13),crhR deaD slr0083,Synechocystis sp. (strain PCC 6803 / Kazusa),492,slr0083,crhR,NA,GO:0000027; GO:0003723; GO:0003724; GO:0005524; GO:0005829; GO:0016887; GO:0031676; GO:0032574; GO:0033592; GO:0034057; GO:0034458,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19926653, ECO:0000269|PubMed:22368073, ECO:0000269|PubMed:23119089, ECO:0000269|PubMed:27215789}. Cell inner membrane {ECO:0000305|PubMed:27215789}; Peripheral membrane protein {ECO:0000305}. Cellular thylakoid membrane {ECO:0000269|PubMed:27215789}; Peripheral membrane protein {ECO:0000305}. Note=A small amount is localized to the cell inner membrane and the thylakoid membrane, and cosediments with polysomes. {ECO:0000269|PubMed:27215789}.",NA,slr0083
Q55835,FUTA2_SYNY3,Iron uptake protein A2 (Iron deficiency-induced protein A) (PP2),futA2 idiA slr0513,Synechocystis sp. (strain PCC 6803 / Kazusa),346,slr0513,futA2,NA,GO:0006811; GO:0030288; GO:0031676; GO:0046872; GO:0055072,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Lumenal side {ECO:0000305}. Periplasm. Note=Binds Fe(3+) in the periplasm.,NA,slr0513
P05429,PSBB_SYNY3,Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47),psbB slr0906,Synechocystis sp. (strain PCC 6803 / Kazusa),507,slr0906,psbB,NA,GO:0009772; GO:0016021; GO:0016168; GO:0030096; GO:0031676; GO:0045156,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01495, ECO:0000269|PubMed:12069591}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01495}.",NA,slr0906
P07826,PSBA1_SYNY3,Photosystem II protein D1 1 (PSII D1 protein 1) (EC 1.10.3.9) (Photosystem II Q(B) protein 1),psbA1 psbA-1 slr1181,Synechocystis sp. (strain PCC 6803 / Kazusa),360,slr1181,psbA1,NA,GO:0005506; GO:0009523; GO:0009635; GO:0009772; GO:0010242; GO:0016021; GO:0016168; GO:0016682; GO:0031676; GO:0045156,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01379, ECO:0000305|PubMed:9512353}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01379, ECO:0000305|PubMed:9512353}.",NA,slr1181
P09190,PSBE_SYNY3,Cytochrome b559 subunit alpha (PSII reaction center subunit V),psbE ssr3451,Synechocystis sp. (strain PCC 6803 / Kazusa),81,ssr3451,psbE,NA,GO:0005506; GO:0009055; GO:0009539; GO:0009767; GO:0016021; GO:0020037; GO:0030096; GO:0031676,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_00642, ECO:0000269|PubMed:12069591}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00642}.",NA,ssr3451
P09191,PSBF_SYNY3,Cytochrome b559 subunit beta (PSII reaction center subunit VI),psbF smr0006,Synechocystis sp. (strain PCC 6803 / Kazusa),44,smr0006,psbF,NA,GO:0005506; GO:0009055; GO:0009539; GO:0009767; GO:0016021; GO:0020037; GO:0030096; GO:0031676; GO:0042802,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_00643, ECO:0000269|PubMed:12069591}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00643}.",P09191,smr0006
P09192,PSBD_SYNY3,Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein),psbD sll0849,Synechocystis sp. (strain PCC 6803 / Kazusa),352,sll0849,psbD,NA,GO:0005506; GO:0009523; GO:0009772; GO:0010242; GO:0016021; GO:0016168; GO:0030096; GO:0031676; GO:0045156,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01383, ECO:0000269|PubMed:12069591, ECO:0000269|PubMed:9512353}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01383}.",NA,sll0849
P09192,PSBD_SYNY3,Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein),psbD sll0849,Synechocystis sp. (strain PCC 6803 / Kazusa),352,sll0849,psbD,NA,GO:0005506; GO:0009523; GO:0009772; GO:0010242; GO:0016021; GO:0016168; GO:0030096; GO:0031676; GO:0045156,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01383, ECO:0000269|PubMed:12069591, ECO:0000269|PubMed:9512353}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01383}.",NA,slr0927
P09193,PSBC_SYNY3,Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43),psbC sll0851,Synechocystis sp. (strain PCC 6803 / Kazusa),460,sll0851,psbC,NA,GO:0009772; GO:0016021; GO:0016168; GO:0030096; GO:0031676; GO:0045156; GO:0046872,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01496, ECO:0000269|PubMed:12069591, ECO:0000269|PubMed:9512353}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01496, ECO:0000269|PubMed:9512353}.",NA,sll0851
P15819,PSBK_SYNY3,Photosystem II reaction center protein K (PSII-K),psbK sml0005,Synechocystis sp. (strain PCC 6803 / Kazusa),45,sml0005,psbK,NA,GO:0009539; GO:0015979; GO:0016021; GO:0030096; GO:0031676,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_00441, ECO:0000269|PubMed:12069591, ECO:0000269|PubMed:1904061}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00441}.",NA,sml0005
P17062,NDHK2_SYNY3,NAD(P)H-quinone oxidoreductase subunit K 2 (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit K 2) (NDH-1 subunit K 2) (NDH-K 2),ndhK2 psbG2 sll8031,Synechocystis sp. (strain PCC 6803 / Kazusa),219,sll8031,ndhK2,NA,GO:0005506; GO:0008137; GO:0009060; GO:0015990; GO:0019684; GO:0031676; GO:0045272; GO:0048038; GO:0051539,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}.,NA,sll8031
P19050,NDHK1_SYNY3,NAD(P)H-quinone oxidoreductase subunit K 1 (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit K 1) (NDH-1 subunit K 1) (NDH-K 1),ndhK1 psbG slr1280,Synechocystis sp. (strain PCC 6803 / Kazusa),248,slr1280,ndhK1,NA,GO:0005506; GO:0008137; GO:0009060; GO:0015990; GO:0019684; GO:0031676; GO:0045272; GO:0048038; GO:0051539,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000305|PubMed:16287171}; Peripheral membrane protein {ECO:0000305|PubMed:16287171}; Cytoplasmic side {ECO:0000305|PubMed:16287171}.,NA,slr1280
P19125,NDHJ_SYNY3,NAD(P)H-quinone oxidoreductase subunit J (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit J) (NADH-plastoquinone oxidoreductase subunit J) (NDH-1 subunit J) (NDH-J) (ORF 155),ndhJ slr1281,Synechocystis sp. (strain PCC 6803 / Kazusa),179,slr1281,ndhJ,NA,GO:0008137; GO:0019684; GO:0031676; GO:0048038,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000305|PubMed:16287171}; Peripheral membrane protein {ECO:0000305|PubMed:16287171}; Cytoplasmic side {ECO:0000305|PubMed:16287171}.,NA,slr1281
P22034,CH602_SYNY3,Chaperonin GroEL 2 (EC 5.6.1.7) (60 kDa chaperonin 2) (Chaperonin-60 2) (Cpn60 2),groEL2 cpn60-2 groL2 sll0416,Synechocystis sp. (strain PCC 6803 / Kazusa),552,sll0416,groEL2,NA,GO:0005524; GO:0006457; GO:0009408; GO:0016853; GO:0042026; GO:0051082; GO:0051085; GO:0140662; GO:1990220,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.,NA,sll0416
P26290,UCRIB_SYNY3,Cytochrome b6-f complex iron-sulfur subunit 2 (EC 7.1.1.6) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein 2) (ISP 2) (RISP 2) (Rieske iron-sulfur protein 2),petC2 sll1316,Synechocystis sp. (strain PCC 6803 / Kazusa),180,sll1316,petC2,NA,GO:0005886; GO:0009496; GO:0015979; GO:0016021; GO:0016491; GO:0031676; GO:0045158; GO:0046872; GO:0051537,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01335}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01335}. Note=The transmembrane helix obliquely spans the membrane in one monomer, and its extrinsic C-terminal domain is part of the other monomer. {ECO:0000255|HAMAP-Rule:MF_01335}.",NA,sll1316
P26533,ATPE_SYNY3,ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit),atpC atpE slr1330,Synechocystis sp. (strain PCC 6803 / Kazusa),136,slr1330,atpC,NA,GO:0005524; GO:0015986; GO:0031676; GO:0045260; GO:0045261; GO:0046933,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.,NA,slr1330
P27372,NDHL_SYNY3,NAD(P)H-quinone oxidoreductase subunit L (EC 7.1.1.-) (Inorganic carbon transport protein) (NAD(P)H dehydrogenase I subunit L) (NDH-1 subunit L) (NDH-L),ndhL ictA ssr1386,Synechocystis sp. (strain PCC 6803 / Kazusa),80,ssr1386,ndhL,NA,GO:0016021; GO:0016655; GO:0031676; GO:0048038,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000305|PubMed:16669080}; Multi-pass membrane protein {ECO:0000305|PubMed:16669080}.,NA,ssr1386
