Entry	Gene names	Gene names  (primary )	Protein names	Length	Mass	EC number	Cross-reference (KEGG)
P72580	preA slr0611	preA	Prenyl transferase (EC 2.5.1.-)	323	35,726	2.5.1.-	syn:slr0611;
Q55758	pyrR sll0368	pyrR	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	178	19,946	2.4.2.9	syn:sll0368;
Q55498	purE sll0901	purE	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	176	18,604	5.4.99.18	syn:sll0901;
P72644	purL sll1056	purL	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	768	81,832	6.3.5.3	syn:sll1056;
P73376	sepF slr2073	sepF	Cell division protein SepF	186	20,534		syn:slr2073;
P77968	sodB slr1516	sodB	Superoxide dismutase [Fe] (EC 1.15.1.1)	199	21,677	1.15.1.1	syn:slr1516;
Q55710	thiO/thiG slr0633	thiO/thiG	Bifunctional protein ThiO/ThiG [Includes: Probable FAD-dependent glycine oxidase (EC 1.4.3.19); Thiazole synthase (EC 2.8.1.10)]	656	70,271	1.4.3.19; 2.8.1.10	syn:slr0633;
P73676	psbY sml0007	psbY	Photosystem II protein Y	39	4,202		syn:sml0007;
Q55850	queA sll0467	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	366	41,186	2.4.99.17	syn:sll0467;
P73123	rbcR sll0998	rbcR	Probable RuBisCO transcriptional regulator	345	38,018		syn:sll0998;
Q55978	queF slr0711	queF	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	137	15,940	1.7.1.13	syn:slr0711;
P73651	ribF slr1882	ribF	Bifunctional riboflavin kinase/FMN adenylyltransferase (Riboflavin biosynthesis protein RibF) [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]	284	31,380	2.7.1.26; 2.7.7.2	syn:slr1882;
P74476	prfB sll1865	prfB	Peptide chain release factor 2 (RF-2)	372	41,760		syn:sll1865;
Q55005	rnpA slr1469	rnpA	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	124	14,498	3.1.26.5	syn:slr1469;
Q59996	sigC sll0184	sigC	Probable RNA polymerase sigma-C factor	404	46,581		syn:sll0184;
Q01903	sbpA slr1452	sbpA	Sulfate-binding protein	352	38,128		syn:slr1452;
P09191	psbF smr0006	psbF	Cytochrome b559 subunit beta (PSII reaction center subunit VI)	44	4,933		syn:smr0006;
P73313	rplP rpl16 sll1805	rplP	50S ribosomal protein L16	139	16,035		syn:sll1805;
P23350	rplJ rpl10 sll1745	rplJ	50S ribosomal protein L10	173	18,676		syn:sll1745;
P74267	rpmA rpl27 ssr2799	rpmA	50S ribosomal protein L27	87	9,449		syn:ssr2799;
P72667	rsmE slr0722	rsmE	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193) (16S rRNA m3U1498 methyltransferase)	303	32,775	2.1.1.193	syn:slr0722;
P72866	rpsO rps15 ssl1784	rpsO	30S ribosomal protein S15	89	10,373		syn:ssl1784;
P73505	ileS sll1362	ileS	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	988	112,346	6.1.1.5	syn:sll1362;
Q55074	panC/cmk panC/kcy sll1249	panC/cmk	Bifunctional pantoate ligase/cytidylate kinase [Includes: Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme); Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)]	513	55,452	6.3.2.1; 2.7.4.25	syn:sll1249;
P74572	proC slr0661	proC	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	267	27,883	1.5.1.2	syn:slr0661;
P73289	rplY sll1824	rplY	50S ribosomal protein L25	98	11,141		syn:sll1824;
P42352	rplI rpl9 sll1244	rplI	50S ribosomal protein L9	152	16,641		syn:sll1244;
Q55709	secA sll0616	secA	Protein translocase subunit SecA (EC 7.4.2.8)	932	107,009	7.4.2.8	syn:sll0616;
P52231	trxA slr0623	trxA	Thioredoxin (Trx)	107	11,749		syn:slr0623;
P73951	fabH slr1511	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	330	35,166	2.3.1.180	syn:slr1511;
P72942	slr0678		Putative biopolymer transport protein ExbD	269	28,439		syn:slr0678;
P72941	slr0677		Putative biopolymer transport protein ExbB-like 2	227	25,074		syn:slr0677;
P72604	sll1404		Putative biopolymer transport protein ExbB-like 3	210	22,962		syn:sll1404;
P73138	frmA sll0990	frmA	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase class-3) (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-)	369	39,211	1.1.1.284; 1.1.1.1; 1.1.1.-	syn:sll0990;
Q55472	ggtC slr0530	ggtC	Osmoprotective compounds uptake permease protein GgtC	279	31,091		syn:slr0530;
Q55500	plqA slr0926	plqA	4-hydroxybenzoate solanesyltransferase (EC 2.5.1.39) (4-HB polyprenyltransferase)	292	31,646	2.5.1.39	syn:slr0926;
Q55988	pfkA2 pfkA sll0745	pfkA2	ATP-dependent 6-phosphofructokinase 2 (ATP-PFK 2) (Phosphofructokinase 2) (EC 2.7.1.11) (Phosphohexokinase 2)	384	41,759	2.7.1.11	syn:sll0745;
P73554	ruvA sll0876	ruvA	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	211	23,190	3.6.4.12	syn:sll0876;
Q57396	ruvB sll0613	ruvB	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	361	40,053	3.6.4.12	syn:sll0613;
Q55670	rbcX slr0011	rbcX	RuBisCO chaperone RbcX	138	15,592		syn:slr0011;
P73526	queG sll1348	queG	Epoxyqueuosine reductase (EC 1.17.99.6) (Queuosine biosynthesis protein QueG)	289	32,552	1.17.99.6	syn:sll1348;
P48944	rpsN rps14 slr0628	rpsN	30S ribosomal protein S14	100	11,854		syn:slr0628;
P19045	ndhC slr1279	ndhC	NAD(P)H-quinone oxidoreductase subunit 3 (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 3) (NADH-plastoquinone oxidoreductase subunit 3) (NDH-1 subunit 3) (NDH-C)	120	13,662	7.1.1.-	syn:slr1279;
P72931	obg slr1090	obg	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	368	39,207	3.6.5.-	syn:slr1090;
P77960	trpA slr0966	trpA	Tryptophan synthase alpha chain (EC 4.2.1.20)	264	28,023	4.2.1.20	syn:slr0966;
P73655	trpS slr1884	trpS	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	337	37,763	6.1.1.2	syn:slr1884;
P72776	pdxJ slr1779	pdxJ	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	242	26,519	2.6.99.2	syn:slr1779;
P74229	rpsG rps7 sll1097	rpsG	30S ribosomal protein S7	156	17,384		syn:sll1097;
P48939	rpsD rps4 slr0469	rpsD	30S ribosomal protein S4	202	23,183		syn:slr0469;
P19569	psaD slr0737	psaD	Photosystem I reaction center subunit II (Photosystem I 16 kDa polypeptide) (PSI-D)	141	15,644		syn:slr0737;
P36236	rplA rpl1 sll1744	rplA	50S ribosomal protein L1	238	25,852		syn:sll1744;
P74266	rplU rpl21 slr1678	rplU	50S ribosomal protein L21	124	13,669		syn:slr1678;
Q55801	rnhA slr0080	rnhA	Ribonuclease HI (RNase HI) (EC 3.1.26.4)	160	17,856	3.1.26.4	syn:slr0080;
P09192	psbD sll0849	psbD	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	352	39,493	1.10.3.9	syn:sll0849;syn:slr0927;
Q55034	stpA slr0746	stpA	Glucosylglycerol-phosphate phosphatase (GGP-P) (EC 3.1.3.69) (Glucosylglycerol 3-phosphatase) (Salt tolerance protein A)	422	46,542	3.1.3.69	syn:slr0746;
P74330	cysS slr0958	cysS	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	483	53,968	6.1.1.16	syn:slr0958;
P74355	smpB slr1639	smpB	SsrA-binding protein (Small protein B)	154	18,138		syn:slr1639;
P72943	rsmB sun slr0679	rsmB	Probable ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	446	49,730	2.1.1.176	syn:slr0679;
P74690	slr0453		Probable phosphoketolase (EC 4.1.2.-)	805	90,879	4.1.2.-	syn:slr0453;
P74737	recA sll0569	recA	Protein RecA (Recombinase A)	354	37,805		syn:sll0569;
P72934	pyrC' sll1018	pyrC'	Probable dihydroorotase-like protein (Aspartate carbamoyltransferase 42 kDa non-catalytic chain)	441	48,175		syn:sll1018;
P73312	rpmC rpl29 ssl3436	rpmC	50S ribosomal protein L29	73	8,546		syn:ssl3436;
P73308	rplE rpl5 sll1808	rplE	50S ribosomal protein L5	180	20,230		syn:sll1808;
P48946	rpsR rps18 ssr1399	rpsR	30S ribosomal protein S18	71	8,381		syn:ssr1399;
Q55610	secD slr0774	secD	Protein translocase subunit SecD	472	50,469		syn:slr0774;
P73689	sppA sll1703	sppA	Protease 4 (EC 3.4.21.-) (Endopeptidase IV) (Protease IV homolog) (Signal peptide peptidase)	610	67,212	3.4.21.-	syn:sll1703;
P73389	phaE slr1829	phaE	Poly(3-hydroxyalkanoate) polymerase subunit PhaE (PHA polymerase) (PHB synthase subunit PhaE) (Poly(3-hydroxybutyrate) polymerase subunit PhaE) (PHB polymerase) (Poly(hydroxyalkanoic acid) synthase subunit PhaE) (PHA synthase) (Polyhydroxyalkanoic acid synthase subunit PhaE)	330	38,047		syn:slr1829;
P26286	psbN smr0009	psbN	Protein PsbN	43	4,512		syn:smr0009;
P74457	pyrH sll0144	pyrH	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	260	27,651	2.7.4.22	syn:sll0144;
Q01950	apcC ssr3383	apcC	Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core (LC 7.8)	67	7,706		syn:ssr3383;
P73274	leuS sll1074	leuS	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	869	98,295	6.1.1.4	syn:sll1074;
Q55787	rsmG slr0072	rsmG	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	264	28,790	2.1.1.-	syn:slr0072;
Q55749	cobA sll0378	cobA	Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (S-adenosyl-L-methionine:uroporphyrinogen III methyltransferase) (SUMT) (Uroporphyrinogen III methylase) (UROM)	263	27,833	2.1.1.107	syn:sll0378;
P72743	ubiX slr1099	ubiX	Flavin prenyltransferase UbiX (EC 2.5.1.129)	206	22,173	2.5.1.129	syn:slr1099;
P74211	pdxH fprA sll1440	pdxH	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	214	24,587	1.4.3.5	syn:sll1440;
P09193	psbC sll0851	psbC	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	460	50,303		syn:sll0851;
P73296	rplQ rpl17 sll1819	rplQ	50S ribosomal protein L17	116	13,228		syn:sll1819;
Q55932	rppB nrsS sll0798	rppB	Sensor histidine kinase RppB (EC 2.7.13.3) (Sensor histidine kinase of nickel resistance operon NrsS)	454	50,466	2.7.13.3	syn:sll0798;
P74415	tsaE sll0257	tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE)	157	17,735		syn:sll0257;
P20170	trpE slr0738	trpE	Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27)	508	57,147	4.1.3.27	syn:slr0738;
Q55329	psaJ sml0008	psaJ	Photosystem I reaction center subunit IX	40	4,532		syn:sml0008;
P73290	purA sll1823	purA	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	444	48,793	6.3.4.4	syn:sll1823;
Q55522	valS slr0557	valS	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	910	102,737	6.1.1.9	syn:slr0557;
P73942	proS sll1425	proS	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	603	66,929	6.1.1.15	syn:sll1425;
P73161	trmB sll1300	trmB	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	211	24,416	2.1.1.33	syn:sll1300;
P37277	psaL slr1655	psaL	Photosystem I reaction center subunit XI (PSI subunit V) (PSI-L)	157	16,624		syn:slr1655;
P74208	pyrG sll1443	pyrG	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	552	61,515	6.3.4.2	syn:sll1443;
Q55574	pyrE slr0185	pyrE	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	198	21,373	2.4.2.10	syn:slr0185;
P74061	rpe sll0807	rpe	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	230	24,971	5.1.3.1	syn:sll0807;
Q55690	glyS slr0220	glyS	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	722	80,051	6.1.1.14	syn:slr0220;
P73511	glgP sll1356	glgP	Glycogen phosphorylase (EC 2.4.1.1)	849	96,649	2.4.1.1	syn:sll1356;
P72797	tal talB slr1793	tal	Transaldolase (EC 2.2.1.2)	391	43,105	2.2.1.2	syn:slr1793;
P74384	purB sll0421	purB	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	431	48,420	4.3.2.2	syn:sll0421;
P73310	rplN rpl14 sll1806	rplN	50S ribosomal protein L14	122	13,295		syn:sll1806;
P23349	rplL rpl12 sll1746	rplL	50S ribosomal protein L7/L12	128	13,259		syn:sll1746;
P74117	slr1972		Uncharacterized PIN and TRAM-domain containing protein slr1972 (Putative RNase slr1972) (EC 3.1.-.-)	359	38,815	3.1.-.-	syn:slr1972;
P74078	sll1254		UPF0053 protein sll1254	346	38,343		syn:sll1254;
P74214	ffh slr1531	ffh	Signal recognition particle protein (Fifty-four homolog)	482	52,145		syn:slr1531;
P72970	slr1592		Uncharacterized RNA pseudouridine synthase slr1592 (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	291	33,096	5.4.99.-	syn:slr1592;
P73639	sll1766		Uncharacterized protein sll1766	398	45,702		syn:sll1766;
P74805	ssr1169		UPF0057 membrane protein ssr1169	54	6,090		syn:ssr1169;
P74811	ssl1255		UPF0175 protein ssl1255	89	10,467		syn:ssl1255;
P72830	pfkA1 pfkA sll1196	pfkA1	ATP-dependent 6-phosphofructokinase 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (Phosphohexokinase 1)	361	38,588	2.7.1.11	syn:sll1196;
Q55132	rnz slr0050	rnz	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	326	36,122	3.1.26.11	syn:slr0050;
P72657	rnhB slr1130	rnhB	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	190	20,684	3.1.26.4	syn:slr1130;
P73515	spkE slr1443	spkE	Serine/threonine-protein kinase-like protein E	614	68,700		syn:slr1443;
Q55778	gltX sll0179	gltX	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	483	54,008	6.1.1.17	syn:sll0179;
Q55486	argS sll0502	argS	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	584	65,213	6.1.1.19	syn:sll0502;
P73068	rub slr2033	rub	Rubredoxin (Rd)	115	12,570		syn:slr2033;
P72854	sir slr0963	sir	Sulfite reductase [ferredoxin] (EC 1.8.7.1)	635	71,441	1.8.7.1	syn:slr0963;
P73469	spkF slr1225	spkF	Serine/threonine-protein kinase F (EC 2.7.11.1)	495	53,873	2.7.11.1	syn:slr1225;
P72686	phoU slr0741	phoU	Phosphate-specific transport system accessory protein PhoU homolog (Pst system accessory protein PhoU homolog)	224	25,768		syn:slr0741;
P48949	rpsU rps21 ssl0601	rpsU	30S ribosomal protein S21	60	7,341		syn:ssl0601;
P74346	slr1629		Uncharacterized RNA pseudouridine synthase slr1629 (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	327	36,037	5.4.99.-	syn:slr1629;
P74442	slr0143		Uncharacterized WD repeat-containing protein slr0143	1191	131,907		syn:slr0143;
P73595	slr1410		Uncharacterized WD repeat-containing protein slr1410	334	35,990		syn:slr1410;
P72821	slr1290		Uncharacterized protein slr1290	190	21,551		syn:slr1290;
P72637	sll1060		UPF0182 protein sll1060	1032	117,164		syn:sll1060;
Q55578	slr0361		Uncharacterized RNA pseudouridine synthase slr0361 (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	249	28,229	5.4.99.-	syn:slr0361;
Q55914	slr0309		Uncharacterized methyltransferase slr0309 (EC 2.1.1.-)	473	54,477	2.1.1.-	syn:slr0309;
Q55382	panD sll0892	panD	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	145	16,130	4.1.1.11	syn:sll0892;
P74606	slr1573		Purine nucleoside phosphorylase slr1573 (EC 2.4.2.1) (Adenosine deaminase slr1573) (EC 3.5.4.4) (S-methyl-5'-thioadenosine phosphorylase slr1573) (EC 2.4.2.28)	264	29,346	2.4.2.1; 3.5.4.4; 2.4.2.28	syn:slr1573;
P54123	rnj slr0551	rnj	Ribonuclease J (RNase J) (EC 3.1.-.-)	640	70,427	3.1.-.-	syn:slr0551;
P15730	sll0772		Uncharacterized protein sll0772	546	59,146		syn:sll0772;
P74497	mtnA slr1938	mtnA	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase)	351	38,282	5.3.1.23	syn:slr1938;
Q55195	pstB2 sll0684	pstB2	Phosphate import ATP-binding protein PstB 2 (EC 7.3.2.1) (ABC phosphate transporter 2) (Phosphate-transporting ATPase 2)	266	29,244	7.3.2.1	syn:sll0684;
Q55158	ribD slr0066	ribD	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	368	39,995	3.5.4.26; 1.1.1.193	syn:slr0066;
P74230	rpsL rps12 sll1096	rpsL	30S ribosomal protein S12	126	14,177		syn:sll1096;
P73340	smc sll1120	smc	Chromosome partition protein Smc	1200	136,136		syn:sll1120;
P72701	psbM sml0003	psbM	Photosystem II reaction center protein M (PSII-M)	35	3,882		syn:sml0003;
P72656	rne slr1129	rne	Ribonuclease E (RNase E) (SynRne) (EC 3.1.26.12) (Ribonuclease E/G)	674	74,944	3.1.26.12	syn:slr1129;
P73177	sll1290		Uncharacterized ribonuclease sll1290 (EC 3.1.-.-)	666	75,802	3.1.-.-	syn:sll1290;
Q55752	rlpA slr0423	rlpA	Probable endolytic peptidoglycan transglycosylase RlpA (EC 4.2.2.-)	321	33,769	4.2.2.-	syn:slr0423;
P73530	rps1A slr1356	rps1A	30S ribosomal protein S1 homolog A	328	36,570		syn:slr1356;
P73270	speB2 sll1077	speB2	Probable agmatinase 2 (EC 3.5.3.11) (Agmatine ureohydrolase 2) (AUH 2)	390	42,964	3.5.3.11	syn:sll1077;
P77966	gyrB sll2005	gyrB	DNA gyrase subunit B (EC 5.6.2.2) [Cleaved into: Ssp GyrB intein]	1078	122,819	5.6.2.2	syn:sll2005;
Q55118	sll0408		Putative thylakoid lumen peptidyl-prolyl cis-trans isomerase sll0408 (Putative thylakoid lumen PPIase) (EC 5.2.1.8) (Putative thylakoid lumen rotamase)	379	41,386	5.2.1.8	syn:sll0408;
P73309	rplX rpl24 sll1807	rplX	50S ribosomal protein L24	115	12,823		syn:sll1807;
P74456	frr sll0145	frr	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	182	20,186		syn:sll0145;
P73336	rpsT rps20 ssl2233	rpsT	30S ribosomal protein S20	97	10,703		syn:ssl2233;
P74142	rps1b slr1984	rps1b	30S ribosomal protein S1 homolog B	305	33,795		syn:slr1984;
P77964	secY sll1814	secY	Protein translocase subunit SecY	442	48,000		syn:sll1814;
P72587	speA2 speA slr1312	speA2	Biosynthetic arginine decarboxylase 2 (ADC 2) (EC 4.1.1.19)	659	74,477	4.1.1.19	syn:slr1312;
P74217	nnr sll1433	nnr	Bifunctional NAD(P)H-hydrate repair enzyme Nnr (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)]	524	55,225	4.2.1.136; 5.1.99.6	syn:sll1433;
P73789	slr1251		Peptidyl-prolyl cis-trans isomerase slr1251 (PPIase slr1251) (EC 5.2.1.8) (Rotamase slr1251)	171	18,535	5.2.1.8	syn:slr1251;
P38382	secE ssl3335	secE	Protein translocase subunit SecE	81	9,134		syn:ssl3335;
Q55611	secF slr0775	secF	Protein translocase subunit SecF	315	34,667		syn:slr0775;
Q55898	ppk sll0290	ppk	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	728	82,607	2.7.4.1	syn:sll0290;
P73293	rpsI rps9 sll1822	rpsI	30S ribosomal protein S9	137	15,086		syn:sll1822;
P72666	rsmA ksgA sll0708	rsmA	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	284	31,648	2.1.1.182	syn:sll0708;
P72704	sll0227		Probable peptidyl-prolyl cis-trans isomerase sll0227 (PPIase sll0227) (EC 5.2.1.8) (Rotamase sll0227)	246	26,580	5.2.1.8	syn:sll0227;
P07826	psbA1 psbA-1 slr1181	psbA1	Photosystem II protein D1 1 (PSII D1 protein 1) (EC 1.10.3.9) (Photosystem II Q(B) protein 1)	360	39,651	1.10.3.9	syn:slr1181;
P72575	psbX sml0002	psbX	Photosystem II reaction center X protein	39	4,186		syn:sml0002;
P48957	rplT rpl20 sll0767	rplT	50S ribosomal protein L20	117	13,553		syn:sll0767;
Q55880	rlmN sll0098	rlmN	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	350	38,857	2.1.1.192	syn:sll0098;
P73662	pta slr2132	pta	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	697	76,477	2.3.1.8	syn:slr2132;
Q55803	rimO slr0082	rimO	Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)	443	49,362	2.8.4.4	syn:slr0082;
P73014	rpmF rpl32 ssr1736	rpmF	50S ribosomal protein L32	57	6,456		syn:ssr1736;
P74352	rpoZ ssl2982	rpoZ	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	76	8,737	2.7.7.6	syn:ssl2982;
P73202	cpcD ssl3093	cpcD	Phycobilisome 8.9 kDa linker polypeptide, phycocyanin-associated, rod (L-8.9/R) (Rod-capping linker protein)	83	9,322		syn:ssl3093;
P54205	cbbL rbcL slr0009	cbbL	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	470	52,491	4.1.1.39	syn:slr0009;
P73667	queE sll2011	queE	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	208	23,508	4.3.99.3	syn:sll2011;
