GeneID,psortB_localization,psortB_score,Process,Pathway,Protein,Entry,Entry.name,Status,Protein.names,Gene.names,EC.number,Catalytic.activity,Cofactor,Function..CC.,Gene.ontology..GO.,Gene.ontology..biological.process.,Gene.ontology..molecular.function.,Gene.ontology..cellular.component.,Gene.ontology.IDs,GRAVY,Length,ExposedAA,First60AA,Helices,Topology,MolWeight,Process.abbr,Pathway.abbr,location,start_bp,end_bp
sll0017,Cytoplasmic,9.97,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",glutamate-1-semialdehyde aminomutase,Q55665,GSA_SYNY3,reviewed,"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",hemL gsa sll0017,5.4.3.8,CATALYTIC ACTIVITY: (S)-4-amino-5-oxopentanoate = 5-aminolevulinate.,COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000250};,NA,"cytoplasm [GO:0005737]; glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]; identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; chlorophyll biosynthetic process [GO:0015995]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782]",chlorophyll biosynthetic process [GO:0015995]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782],"glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]; identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]",cytoplasm [GO:0005737],GO:0015995; GO:0005737; GO:0042286; GO:0042802; GO:0006779; GO:0006782; GO:0030170; GO:0008483,0.13117782909931,433,0.08,0,0,o,45.9,Cofactors,"Cobalamin, heme, p",Chr,2471954,2473255
sll0018,Cytoplasmic,9.97,Energy metabolism,Glycolysis,"fructose-bisphosphate aldolase, class II",Q55664,ALF2_SYNY3,reviewed,"Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",fbaA fda sll0018,4.1.2.13,"CATALYTIC ACTIVITY: D-fructose 1,6-bisphosphate = glycerone phosphate + D-glyceraldehyde 3-phosphate.",COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250}; ;  Note=Binds 2 Zn(2+) ions per subunit. One is catalytic and the other provides a structural contribution. {ECO:0000250};,"FUNCTION: Catalyzes the aldol condensation of dihydroxyacetone phosphate (DHAP or glycerone-phosphate) with glyceraldehyde 3-phosphate (G3P) to form fructose 1,6-bisphosphate (FBP) in gluconeogenesis and the reverse reaction in glycolysis. {ECO:0000250}.",fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; glycolytic process [GO:0006096],glycolytic process [GO:0006096],fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270],NA,GO:0004332; GO:0006096; GO:0008270,-0.23119777158774,359,0,0,0,o,38.98,Energy,Glycolysis,Chr,2470591,2471670
sll0019,Cytoplasmic,8.96,Other categories,Other,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Q55663,DXR_SYNY3,reviewed,1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase),dxr sll0019,1.1.1.267,CATALYTIC ACTIVITY: 2-C-methyl-D-erythritol 4-phosphate + NADP(+) = 1-deoxy-D-xylulose 5-phosphate + NADPH. {ECO:0000255|HAMAP-Rule:MF_00183}.,COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000255|HAMAP-Rule:MF_00183};,FUNCTION: Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP). {ECO:0000255|HAMAP-Rule:MF_00183}.,"1-deoxy-D-xylulose-5-phosphate reductoisomerase activity [GO:0030604]; manganese ion binding [GO:0030145]; NADPH binding [GO:0070402]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process [GO:0051484]","isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process [GO:0051484]",1-deoxy-D-xylulose-5-phosphate reductoisomerase activity [GO:0030604]; manganese ion binding [GO:0030145]; NADPH binding [GO:0070402],NA,GO:0030604; GO:0070402; GO:0051484; GO:0030145,0.18197969543147,394,1.23,0.09,0,o,42.54,Other,Other,Chr,2469245,2470429
sll0020,Cytoplasmic,9.97,Translation,"Degradation of proteins, peptides, and glycopeptides",ATP-dependent Clp protease ATPase subunit,NA,NA,NA,NA,sll0020,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.28721071863581,821,0.08,0.08,0,o,91.19,Translat,Degradation of pro,Chr,2466407,2468872
sll0021,Cytoplasmic,8.96,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",probable exonuclease,Q55661,Q55661_SYNY3,unreviewed,Nuclease SbcCD subunit D,sbcD sll0021,NA,NA,NA,FUNCTION: SbcCD cleaves DNA hairpin structures. These structures can inhibit DNA replication and are intermediates in certain DNA recombination reactions. The complex acts as a 3'->5' double strand exonuclease that can open hairpins. It also has a 5' single-strand endonuclease activity. {ECO:0000256|RuleBase:RU363069}.,3'-5' exonuclease activity [GO:0008408]; endonuclease activity [GO:0004519]; DNA metabolic process [GO:0006259],DNA metabolic process [GO:0006259],3'-5' exonuclease activity [GO:0008408]; endonuclease activity [GO:0004519],NA,GO:0008408; GO:0006259; GO:0004519,-0.10384615384615,416,0.01,0,0,o,45.95,DNArep,"DNA replication, r",Chr,2465076,2466326
sll0022,Unknown,2,Unknown,Unknown,unknown protein,Q55659,Q55659_SYNY3,unreviewed,Sll0022 protein,sll0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.66506024096386,249,0.13,0.09,0,o,26.65,Unknown,Unknown,Chr,2463555,2464304
sll0023,Cytoplasmic,8.96,Hypothetical,Hypothetical,hypothetical protein,Q55658,Q55658_SYNY3,unreviewed,Sll0023 protein,sll0023,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32237136465324,447,0.06,0,0,o,51.66,Hypoth,Hypothetical,Chr,2462212,2463555
sll0024,Cytoplasmic,8.96,Unknown,Unknown,unknown protein,Q55657,Q55657_SYNY3,unreviewed,Sll0024 protein,sll0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44652014652015,273,0.01,0,0,o,32.33,Unknown,Unknown,Chr,2461358,2462179
sll0026,CytoplasmicMembrane,10,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake)",NA,NA,NA,NA,sll0026,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83675078864353,634,376.75,40.89,16,o10-28i40-62o90-112i119-138o142-164i185-203o282-304i317-339o343-365i377-399o409-431i451-473o493-515i535-557o567-586i599-621o,69.37,Photosynth,NADH dehydrogenase,Chr,3178231,3180135
sll0027,CytoplasmicMembrane,10,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 4 (involved in constitutive, low affinity CO2 uptake)",NA,NA,NA,NA,sll0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83057199211045,507,294.99,39.09,13,o4-19i31-53o73-95i108-125o129-151i162-184o204-226i239-261o271-291i298-320o325-347i367-389o404-426i,55.17,Photosynth,NADH dehydrogenase,Chr,3176543,3178066
sll0030,Cytoplasmic,9.97,Regulatory functions,Regulatory functions,"cmp operon transcriptional regulator, LysR family protein",Q55459,CMPR_SYNY3,reviewed,HTH-type transcriptional activator CmpR,cmpR sll0030,NA,NA,NA,FUNCTION: Activates transcription of the cmpABCD operon under carbon dioxide-limited conditions. Specifically binds to the cmpR-cmpA intergenic region. {ECO:0000269|PubMed:11222586}.,"cytoplasm [GO:0005737]; DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription, DNA-templated [GO:0006351]","transcription, DNA-templated [GO:0006351]","DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]",cytoplasm [GO:0005737],GO:0003677; GO:0005737; GO:0003700; GO:0006351,-0.02796052631579,304,0.83,0,0,o,34.11,Regul,Regulatory functio,Chr,3167887,3168801
sll0031,Unknown,2,Hypothetical,Hypothetical,hypothetical protein,Q55456,Q55456_SYNY3,unreviewed,Sll0031 protein,sll0031,NA,NA,NA,NA,"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]",NA,"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]",NA,GO:0051539; GO:0046872,-0.12050632911392,395,0.04,0.02,0,o,43.42,Hypoth,Hypothetical,Chr,3164404,3165591
sll0033,Cytoplasmic,8.96,"Biosynthesis of cofactors, prosthetic groups, and carriers",Carotenoid,carotene isomerase,Q55455,Q55455_SYNY3,unreviewed,Sll0033 protein,sll0033,NA,NA,NA,NA,isomerase activity [GO:0016853]; oxidoreductase activity [GO:0016491]; carotenoid biosynthetic process [GO:0016117],carotenoid biosynthetic process [GO:0016117],isomerase activity [GO:0016853]; oxidoreductase activity [GO:0016491],NA,GO:0016117; GO:0016853; GO:0016491,-0.18423153692615,501,4.78,4.67,0,o,55.78,Cofactors,Carotenoid,Chr,3162738,3164243
sll0034,Cytoplasmic,9.26,Other categories,Other,putative carboxypeptidase,Q55454,Q55454_SYNY3,unreviewed,Sll0034 protein,sll0034,NA,NA,NA,NA,integral component of membrane [GO:0016021]; peptidase activity [GO:0008233],NA,peptidase activity [GO:0008233],integral component of membrane [GO:0016021],GO:0016021; GO:0008233,-0.49806201550388,258,20.16,20.08,1,i40-59o,28.6,Other,Other,Chr,3161899,3162675
sll0036,Cytoplasmic,9.26,Hypothetical,Hypothetical,hypothetical protein,Q55452,Y036_SYNY3,reviewed,Uncharacterized protein sll0036,sll0036,NA,NA,NA,NA,methylglyoxal synthase activity [GO:0008929]; NAD+ kinase activity [GO:0003951]; methylglyoxal biosynthetic process [GO:0019242],methylglyoxal biosynthetic process [GO:0019242],methylglyoxal synthase activity [GO:0008929]; NAD+ kinase activity [GO:0003951],NA,GO:0003951; GO:0019242; GO:0008929,0.13672055427252,433,0.1,0,0,o,45.92,Hypoth,Hypothetical,Chr,3159350,3160651
sll0037,Cytoplasmic,8.96,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",xfp xylulose-5-phosphate/fructose-6-phosphate phosphoketolase,Q55451,CBIX_SYNY3,reviewed,Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL),xfp cbiX sll0037,4.99.1.3,CATALYTIC ACTIVITY: Cobalt-sirohydrochlorin + 2 H(+) = sirohydrochlorin + Co(2+).,COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000305}; ;  Note=Binds 1 [4Fe-4S] cluster per dimer. {ECO:0000305};,FUNCTION: Chelates cobalt to the cobalamin precursor as part of the anaerobic pathway to cobalamin biosynthesis.,"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; sirohydrochlorin cobaltochelatase activity [GO:0016852]; cobalamin biosynthetic process [GO:0009236]",cobalamin biosynthetic process [GO:0009236],"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; sirohydrochlorin cobaltochelatase activity [GO:0016852]",NA,GO:0051539; GO:0009236; GO:0046872; GO:0016852,-0.37827380952381,336,2.85,0,0,o,38.35,Cofactors,"Cobalamin, heme, p",Chr,3158106,3159116
sll0038,Cytoplasmic,9.97,Regulatory functions,Regulatory functions,"positive phototaxis protein, two-component response regulator PatA subfamily",Q55448,Q55448_SYNY3,unreviewed,Protein PatA,sll0038,NA,NA,NA,FUNCTION: Controls heterocyst pattern formation. {ECO:0000256|PIRNR:PIRNR005897}.,cell septum [GO:0030428]; intracellular [GO:0005622]; heterocyst differentiation [GO:0043158]; phosphorelay signal transduction system [GO:0000160],heterocyst differentiation [GO:0043158]; phosphorelay signal transduction system [GO:0000160],NA,cell septum [GO:0030428]; intracellular [GO:0005622],GO:0030428; GO:0043158; GO:0005622; GO:0000160,-0.03432835820896,402,0.45,0.26,0,o,44.83,Regul,Regulatory functio,Chr,3153452,3154660
sll0039,Cytoplasmic,9.97,Regulatory functions,Regulatory functions,"positive phototaxis protein, two-component response regulator CheY subfamily",Q55447,Q55447_SYNY3,unreviewed,CheY subfamily,sll0039,NA,NA,NA,NA,intracellular [GO:0005622]; phosphorelay signal transduction system [GO:0000160],phosphorelay signal transduction system [GO:0000160],NA,intracellular [GO:0005622],GO:0005622; GO:0000160,-0.10084033613445,119,0.01,0,0,o,13.18,Regul,Regulatory functio,Chr,3152955,3153314
sll0040,Unknown,2,Cellular processes,Chemotaxis,"positive phototaxis protein, homologous to chemotaxis protein CheW",Q55446,Q55446_SYNY3,unreviewed,Sll0040 protein,sll0040,NA,NA,NA,NA,signal transducer activity [GO:0004871]; chemotaxis [GO:0006935],chemotaxis [GO:0006935],signal transducer activity [GO:0004871],NA,GO:0006935; GO:0004871,-0.01836734693877,147,4.68,3.76,0,o,16.22,CellProc,Chemotaxis,Chr,3152239,3152682
sll0041,CytoplasmicMembrane,10,Cellular processes,Chemotaxis,phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein,Q55445,Y041_SYNY3,reviewed,Putative methyl-accepting chemotaxis protein sll0041,sll0041,NA,NA,NA,NA,integral component of membrane [GO:0016021]; signal transducer activity [GO:0004871]; chemotaxis [GO:0006935]; protein-chromophore linkage [GO:0018298],chemotaxis [GO:0006935]; protein-chromophore linkage [GO:0018298],signal transducer activity [GO:0004871],integral component of membrane [GO:0016021],GO:0006935; GO:0016021; GO:0018298; GO:0004871,-0.2309,1000,42,0,2,o201-223i247-266o,108.36,CellProc,Chemotaxis,Chr,3148975,3151977
sll0042,CytoplasmicMembrane,9.82,Cellular processes,Chemotaxis,methyl-accepting chemotaxis protein for positive phototaxis,NA,NA,NA,NA,sll0042,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41349693251534,163,0,0,0,o,17.71,CellProc,Chemotaxis,Chr,3148438,3148929
sll0043,Unknown,7.33,Regulatory functions,Regulatory functions,"positive phototaxis protein, homologous to chemotaxis protein CheA, two-component hybrid histidine kinase",Q55443,Q55443_SYNY3,unreviewed,CheA like protein,sll0043,NA,NA,NA,NA,cytoplasm [GO:0005737]; phosphorelay sensor kinase activity [GO:0000155]; chemotaxis [GO:0006935],chemotaxis [GO:0006935],phosphorelay sensor kinase activity [GO:0000155],cytoplasm [GO:0005737],GO:0006935; GO:0005737; GO:0000155,-0.13402282453638,1402,0.74,0,0,o,153.14,Regul,Regulatory functio,Chr,3144213,3148421
sll0044,Unknown,2,Unknown,Unknown,unknown protein,Q55442,Q55442_SYNY3,unreviewed,Sll0044 protein,sll0044,NA,NA,NA,NA,signal transducer activity [GO:0004871]; chemotaxis [GO:0006935],chemotaxis [GO:0006935],signal transducer activity [GO:0004871],NA,GO:0006935; GO:0004871,0.06708074534161,161,1.7,1.7,0,o,17.74,Unknown,Unknown,Chr,3143696,3144181
sll0045,Cytoplasmic,8.96,Energy metabolism,Sugars,sucrose phosphate synthase,NA,NA,NA,NA,sll0045,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31152777777778,720,0.01,0,0,o,81.43,Energy,Sugars,Chr,3140713,3142875
sll0047,CytoplasmicMembrane,9.82,Photosynthesis and respiration,Photosystem II,Photosystem II reaction center protein,Q55438,YCF12_SYNY3,reviewed,Photosystem II reaction center protein Ycf12,ycf12 sll0047,NA,NA,NA,FUNCTION: A core subunit of photosystem II (PSII). {ECO:0000255|HAMAP-Rule:MF_01329}.,integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; thylakoid membrane [GO:0042651]; photosynthesis [GO:0015979],photosynthesis [GO:0015979],NA,integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; thylakoid membrane [GO:0042651],GO:0016021; GO:0015979; GO:0009523; GO:0042651,1.0795698924731,93,42.38,19.64,2,i5-22o66-88i,10.02,Photosynth,Photosystem II,Chr,3140045,3140326
sll0048,Cytoplasmic,8.96,Unknown,Unknown,unknown protein,Q55437,Q55437_SYNY3,unreviewed,Sll0048 protein,sll0048,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14551282051282,312,0.09,0,0,o,34.87,Unknown,Unknown,Chr,3138917,3139855
sll0051,Cytoplasmic,9.26,Translation,Aminoacyl tRNA synthetases and tRNA modification,putative cytidine deaminase,Q55162,Q55162_SYNY3,unreviewed,Sll0051 protein,sll0051,NA,NA,NA,NA,catalytic activity [GO:0003824]; zinc ion binding [GO:0008270]; RNA modification [GO:0009451],RNA modification [GO:0009451],catalytic activity [GO:0003824]; zinc ion binding [GO:0008270],NA,GO:0009451; GO:0003824; GO:0008270,-0.32830188679245,159,0.12,0.08,0,o,17.8,Translat,Aminoacyl tRNA syn,Chr,2600012,2600491
sll0053,Cytoplasmic,9.97,"Fatty acid, phospholipid and sterol metabolism","Fatty acid, phospholipid and sterol metabolism",biotin carboxylase,NA,NA,NA,NA,sll0053,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.165625,448,0.02,0,0,o,49.17,FattyAcids,"Fatty acid, phosph",Chr,2597851,2599197
sll0055,Unknown,5.41,Translation,"Degradation of proteins, peptides, and glycopeptides",processing protease,Q55159,Q55159_SYNY3,unreviewed,Processing protease,sll0055,NA,NA,NA,NA,metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein processing [GO:0016485],protein processing [GO:0016485],metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],NA,GO:0004222; GO:0016485; GO:0008270,-0.23808411214952999,428,0.01,0,0,o,48.13,Translat,Degradation of pro,Chr,2595280,2596566
sll0057,Cytoplasmic,9.97,Cellular processes,Chaperones,heat shock protein GrpE,Q59978,GRPE_SYNY3,reviewed,Protein GrpE (HSP-70 cofactor),grpE sll0057,NA,NA,NA,"FUNCTION: Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ; upon interaction with the DnaJ-bound protein, DnaK hydrolyzes its bound ATP, resulting in the formation of a stable complex. GrpE releases ADP from DnaK; ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. {ECO:0000255|HAMAP-Rule:MF_01151}.",cytoplasm [GO:0005737]; adenyl-nucleotide exchange factor activity [GO:0000774]; protein folding [GO:0006457],protein folding [GO:0006457],adenyl-nucleotide exchange factor activity [GO:0000774],cytoplasm [GO:0005737],GO:0000774; GO:0005737; GO:0006457,-0.76746987951807,249,0,0,0,o,27.57,CellProc,Chaperones,Chr,2588884,2589633
sll0058,Cytoplasmic,9.26,Cellular processes,Chaperones,"DnaK protein 1, heat shock protein 70, molecular chaperone",Q55154,DNAK1_SYNY3,reviewed,Chaperone protein dnaK1 (HSP70-1) (Heat shock 70 kDa protein 1) (Heat shock protein 70-1),dnaK1 sll0058,NA,NA,NA,FUNCTION: Acts as a chaperone. {ECO:0000250}.,ATP binding [GO:0005524]; protein folding [GO:0006457],protein folding [GO:0006457],ATP binding [GO:0005524],NA,GO:0005524; GO:0006457,-0.25621387283237,692,0,0,0,o,75.19,CellProc,Chaperones,Chr,2586572,2588650
sll0060,CytoplasmicMembrane,10,Hypothetical,Hypothetical,hypothetical protein,Q55153,Y060_SYNY3,reviewed,UPF0118 membrane protein sll0060,sll0060,NA,NA,NA,NA,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,NA,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],GO:0016021; GO:0005886,0.75058139534884,344,170.22,40.39,7,i13-31o41-58i71-93o159-181i213-235o245-267i308-330o,38.82,Hypoth,Hypothetical,Chr,2585489,2586523
sll0062,CytoplasmicMembrane,10,Hypothetical,Hypothetical,hypothetical protein,Q55148,Q55148_SYNY3,unreviewed,Sll0062 protein,sll0062,NA,NA,NA,NA,integral component of membrane [GO:0016021],NA,NA,integral component of membrane [GO:0016021],GO:0016021,0.81626016260163,123,66.7,36.44,3,o20-39i46-68o73-95i,13.57,Hypoth,Hypothetical,Chr,2581944,2582315
sll0063,CytoplasmicMembrane,10,Hypothetical,Hypothetical,hypothetical protein,Q55147,Y063_SYNY3,reviewed,UPF0118 membrane protein sll0063,sll0063,NA,NA,NA,NA,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; heme transporter activity [GO:0015232]; cytochrome complex assembly [GO:0017004],cytochrome complex assembly [GO:0017004],heme transporter activity [GO:0015232],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],GO:0017004; GO:0015232; GO:0016021; GO:0005886,0.74151898734177,395,174.16,29.12,7,o20-42i49-71o86-108i181-203o233-255i268-290o328-350i,43.12,Hypoth,Hypothetical,Chr,2580710,2581897
sll0064,Periplasmic,9.76,Transport and binding proteins,Transport and binding proteins,"periplasmic protein, putative polar amino acid transport system substrate-binding protein",Q55146,Q55146_SYNY3,unreviewed,Sll0064 protein,sll0064,NA,NA,NA,NA,outer membrane-bounded periplasmic space [GO:0030288],NA,NA,outer membrane-bounded periplasmic space [GO:0030288],GO:0030288,0.09490909090909,275,13,12.99,0,o,30.18,Transport,Transport and bind,Chr,2579308,2580135
sll0065,Cytoplasmic,9.97,Amino acid biosynthesis,Branched chain family,acetolactate synthase small subunit,Q55141,ILVH_SYNY3,reviewed,Acetolactate synthase small subunit (EC 2.2.1.6) (Acetohydroxy-acid synthase small subunit) (AHAS) (ALS),ilvH ilvN sll0065,2.2.1.6,CATALYTIC ACTIVITY: 2 pyruvate = 2-acetolactate + CO(2).,NA,NA,acetolactate synthase activity [GO:0003984]; amino acid binding [GO:0016597]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099],isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099],acetolactate synthase activity [GO:0003984]; amino acid binding [GO:0016597],NA,GO:0003984; GO:0016597; GO:0009097; GO:0009099,0.12616279069767,172,0.01,0.01,0,o,18.87,AminoAcids,Branched chain fam,Chr,2575344,2575862
sll0066,CytoplasmicMembrane,9.86,Unknown,Unknown,unknown protein,Q55140,Q55140_SYNY3,unreviewed,Sll0066 protein,sll0066,NA,NA,NA,NA,integral component of membrane [GO:0016021],NA,NA,integral component of membrane [GO:0016021],GO:0016021,-0.05873015873016,315,22.91,0,1,i113-135o,34.18,Unknown,Unknown,Chr,2574297,2575244
sll0067,Cytoplasmic,9.26,"Biosynthesis of cofactors, prosthetic groups, and carriers","Thioredoxin, glutaredoxin, and glutathione",glutathione S-transferase,NA,NA,NA,NA,sll0067,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22391304347826,184,3.94,0.01,0,o,20.38,Cofactors,"Thioredoxin, gluta",Chr,2573649,2574203
sll0068,CytoplasmicMembrane,9.82,Unknown,Unknown,unknown protein,Q55138,Q55138_SYNY3,unreviewed,Sll0068 protein,sll0068,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15392886683209,1209,0.13,0,0,o,134.69,Unknown,Unknown,Chr,2569772,2573401
sll0069,Unknown,2,Hypothetical,Hypothetical,hypothetical protein,Q55137,Q55137_SYNY3,unreviewed,Sll0069 protein,sll0069,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.312109375,256,0.06,0.06,0,o,28.91,Hypoth,Hypothetical,Chr,2568975,2569745
