System,Process,Pathway,Protein,short_name,full_name,EC-class
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B2233,bkdA1,"2-Oxoisovalerate dehydrogenase E1 component,alpha subunit",K00161 PDHA; pyruvate dehydrogenase E1 component alpha subunit
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B2234,bkdA2,"2-Oxoisovalerate dehydrogenase E1 component,beta subunit",K00162 PDHB; pyruvate dehydrogenase E1 component beta subunit
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A1375,pdhB,dihydrolipoamide acetyltransferase (E2) component of pyruvate dehydrogenase complex,K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B0146,acoC,Dihydrolipoamide S-acetyltransferase component of acetoin dehydrogenase complex,K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B2235,bkdB,Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase,K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A1377,pdhL,dihydrolipoamide dehydrogenase (E3) component ofpyruvate dehydrogenase,K00382 DLD; dihydrolipoamide dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A2323,odhL,dihydrolipoamide dehydrogenase (E3),K00382 DLD; dihydrolipoamide dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1098,h16_B1098,Pyridinenucleotide-disulphide (lipoamid) oxidoreductase,K00382 DLD; dihydrolipoamide dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A0666,ldh,L-Lactate dehydrogenase,K00016 LDH; L-lactate dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1195,adhC,"alcohol dehydrogenase, class III",K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B2470,h16_B2470,putative alcohol dehydrogenase class III,K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1433,adhP,"alcohol dehydrogenase, Zn-dependent","K13953 adhP; alcohol dehydrogenase, propanol-preferring"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A0861,h16_A0861,"alcohol dehydrogenase, class IV",K13954 yiaY; alcohol dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B0517,h16_B0517,Zn-dependent alcohol dehydrogenase,K00001 E1.1.1.1; alcohol dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1745,h16_B1745,Zinc-type alcohol dehydrogenase adhd (aldehyde reductase),K00001 E1.1.1.1; alcohol dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1699,h16_B1699,alcohol dehydrogenase zinc-containing,K00001 E1.1.1.1; alcohol dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1047,quiA,quinate dehydrogenase (PQQ),K00114 exaA; alcohol dehydrogenase (cytochrome c)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A1495,h16_A1495,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1534,h16_B1534,aldehyde dehydrogenase (NAD+),K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A0745,h16_A0745,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B0737,h16_B0737,"aldehyde dehydrogenase, NAD-dependent",K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B0833,h16_B0833,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B0421,h16_B0421,"aldehyde dehydrogenase, NAD(P)-dependent",K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B2444,h16_B2444,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1735,h16_B1735,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1751,h16_B1751,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1835,h16_B1835,aldehyde dehydrogenase family protein,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A3345,h16_A3345,aldehyde dehydrogenase family,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1960,exaC,aldehyde dehydrogenase,K00138 aldB; aldehyde dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A2525,acoE,Acetyl-coenzyme A synthetase,K01895 ACSS; acetyl-CoA synthetase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A1616,h16_A1616,Acetyl-coenzyme A synthetase,K01895 ACSS; acetyl-CoA synthetase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B0834,h16_B0834,Acetate-CoA ligase,K01895 ACSS; acetyl-CoA synthetase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B0386,h16_B0386,Acetyl-CoA synthetase (NDP-forming),K01895 ACSS; acetyl-CoA synthetase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1102,h16_B1102,Acetyl-CoA synthetase,K01895 ACSS; acetyl-CoA synthetase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A1197,h16_A1197,Acyl-CoA synthetase,K01895 ACSS; acetyl-CoA synthetase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A2863,galM,Aldose 1-epimerase,K01785 galM; aldose 1-epimerase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A2885,manB2,Phosphomannomutase,K15778 pmm-pgm; phosphomannomutase / phosphoglucomutase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A1847,manB1,Phosphomannomutase,K15778 pmm-pgm; phosphomannomutase / phosphoglucomutase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A3711,pepck,phosphoenolpyruvate carboxykinase,K01596 E4.1.1.32; phosphoenolpyruvate carboxykinase (GTP)
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A1229,h16_A1229,citrate synthase,K01647 CS; citrate synthase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A2627,cisY,citrate synthase,K01647 CS; citrate synthase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B0414,h16_B0414,citrate synthase,K01647 CS; citrate synthase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B2211,h16_B2211,citrate synthase,K01647 CS; citrate synthase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B0357,h16_B0357,citrate synthase,K01647 CS; citrate synthase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A2638,acnA,aconitate hydratase,K01681 ACO; aconitate hydratase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B0568,acnB,aconitate hydratase 2,K01682 acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A3056,icd1,isocitrate dehydrogenase,K00031 IDH1; isocitrate dehydrogenase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B1931,icd2,isocitrate dehydrogenase,K00031 IDH1; isocitrate dehydrogenase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B1016,icd3,isocitrate dehydrogenase,K00030 IDH3; isocitrate dehydrogenase (NAD+)
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A2325,odhA,2-Oxoglutarate dehydrogenase (E1),K00164 OGDH; 2-oxoglutarate dehydrogenase E1 component
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A2324,odhB,Dihydrolipoamide S-succinyltransferase (E2),K00658 DLST; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A1377,pdhL,dihydrolipoamide dehydrogenase (E3) component ofpyruvate dehydrogenase,K00382 DLD; dihydrolipoamide dehydrogenase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A2323,odhL,dihydrolipoamide dehydrogenase (E3),K00382 DLD; dihydrolipoamide dehydrogenase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B1098,h16_B1098,Pyridinenucleotide-disulphide (lipoamid) oxidoreductase,K00382 DLD; dihydrolipoamide dehydrogenase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A0548,sucD,Succinyl-CoA synthetase alpha chain,K01902 sucD; succinyl-CoA synthetase alpha subunit
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A0547,sucC,Succinyl-CoA synthetase beta chain,K01903 sucC; succinyl-CoA synthetase beta subunit
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A1358,h16_A1358,Acetyl-CoA hydrolase,K18118 aarC; succinyl-CoA:acetate CoA-transferase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A2630,sdhA,succinate dehydrogenase (flavoprotein subunit),"K00239 sdhA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A2629,sdhB,succinate dehydrogenase (Fe-S protein subunit),"K00240 sdhB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A2632,sdhC,succinate dehydrogenase (cytochrome b subunit),"K00241 sdhC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A2631,sdhD,succinate dehydrogenase (hydrophobic anchor subunit),"K00242 sdhD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A2528,fumA,fumarate hydratase class I,"K01676 E4.2.1.2A; fumarate hydratase, class I"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B0103,fumC,fumarate hydratase class II,"K01679 E4.2.1.2B; fumarate hydratase, class II"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A2634,mdh1,malate dehydrogenase,K00024 mdh; malate dehydrogenase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A1251,pyc,pyruvate carboxylase,K01958 PC; pyruvate carboxylase
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A3711,pepck,phosphoenolpyruvate carboxykinase,K01596 E4.1.1.32; phosphoenolpyruvate carboxykinase (GTP)
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A1374,pdhA1,"pyruvate dehydrogenase complex, dehydrogenase (E1) component",K00163 aceE; pyruvate dehydrogenase E1 component
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B1300,aceE,"pyruvate dehydrogenase complex, dehydrogenase (E1) component (lipoamide)",K00163 aceE; pyruvate dehydrogenase E1 component
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A1753,pdhA2,"pyruvate dehydrogenase complex, dehydrogenase (E1) component",K00163 aceE; pyruvate dehydrogenase E1 component
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B2233,bkdA1,"2-Oxoisovalerate dehydrogenase E1 component,alpha subunit",K00161 PDHA; pyruvate dehydrogenase E1 component alpha subunit
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B2234,bkdA2,"2-Oxoisovalerate dehydrogenase E1 component,beta subunit",K00162 PDHB; pyruvate dehydrogenase E1 component beta subunit
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_A1375,pdhB,dihydrolipoamide acetyltransferase (E2) component of pyruvate dehydrogenase complex,K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B0146,acoC,Dihydrolipoamide S-acetyltransferase component of acetoin dehydrogenase complex,K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle),H16_B2235,bkdB,Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase,K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A1502,pgi1,Glucose-6-phosphate isomerase,K01810 GPI; glucose-6-phosphate isomerase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1502,pgi2,Glucose-6-phosphate isomerase,K01810 GPI; glucose-6-phosphate isomerase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1501,zwf2,Glucose-6-phosphate 1-dehydrogenase,K00036 G6PD; glucose-6-phosphate 1-dehydrogenase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A0316,zwf1,Glucose-6-phosphate 1-dehydrogenase,K00036 G6PD; glucose-6-phosphate 1-dehydrogenase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B2566,zwf3,Glucose-6-phosphate 1-dehydrogenase,K00036 G6PD; glucose-6-phosphate 1-dehydrogenase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B2565,pgl,6-Phosphogluconolactonase,K01057 PGLS; 6-phosphogluconolactonase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1391,cbbE2,Ribulose-phosphate 3-epimerase,K01783 rpe; ribulose-phosphate 3-epimerase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A3317,rpe,Ribulose-phosphate 3-epimerase,K01783 rpe; ribulose-phosphate 3-epimerase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,PHG423,cbbEp,ribulose-5-phosphate 3-epimerase,K01783 rpe; ribulose-phosphate 3-epimerase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A3147,tktA,Transketolase,K00615 E2.2.1.1; transketolase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1388,cbbT2,Transketolase,K00615 E2.2.1.1; transketolase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,PHG420,cbbTp,transketolase,K00615 E2.2.1.1; transketolase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A2346,tal,Transaldolase,K00616 E2.2.1.2; transaldolase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A2345,rpiA,Ribose 5-phosphate isomerase,K01807 rpiA; ribose 5-phosphate isomerase A
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A2885,manB2,Phosphomannomutase,K15778 pmm-pgm; phosphomannomutase / phosphoglucomutase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A1847,manB1,Phosphomannomutase,K15778 pmm-pgm; phosphomannomutase / phosphoglucomutase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1291,phnN,uncharacterized component of phosphonate metabolism,"K05774 phnN; ribose 1,5-bisphosphokinase"
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A0372,prsA,Ribose-phosphate pyrophosphokinase,K00948 PRPS; ribose-phosphate pyrophosphokinase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A1178,edd1,phosphogluconate dehydratase,K01690 edd; phosphogluconate dehydratase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B2567,edd2,phosphogluconate dehydratase,K01690 edd; phosphogluconate dehydratase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1213,eda,2-Keto-3-deoxy-6-phosphogluconate aldolase,K01625 eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A3012,gnl1,Gluconolactonase,K01053 E3.1.1.17; gluconolactonase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1441,gnl3,Gluconolactonase,K01053 E3.1.1.17; gluconolactonase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B0345,gnl2,Gluconolactonase,K01053 E3.1.1.17; gluconolactonase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A2586,h16_A2586,lactate dehydrogenase or related dehydrogenase,K00090 ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1813,kguD,Putative 2-Ketogluconate-6-phosphate reductase,K00032 E1.1.1.43; phosphogluconate 2-dehydrogenase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A1179,gntK,gluconate kinase,K00851 E2.7.1.12; gluconokinase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1212,kdgK,2-Keto-3-deoxygluconate kinase,K00874 kdgK; 2-dehydro-3-deoxygluconokinase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1812,kguK,Putative 2-Ketogluconate kinase,K00874 kdgK; 2-dehydro-3-deoxygluconokinase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A3601,ttuD1,hydroxypyruvate reductase,K11529 gck; glycerate 2-kinase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A2132,ttuD2,hydroxypyruvate reductase,K11529 gck; glycerate 2-kinase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A0478,ldhA,dehydrogenase related to lactate dehydrogenases,K11529 gck; glycerate 2-kinase
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B0278,fbaB,Fructose-bisphosphate aldolase class-I,"K01623 ALDO; fructose-bisphosphate aldolase, class I"
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A0568,fba,Fructose-bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II"
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1384,cbbA2,"Fructose-1,6-/sedoheptulose-1,7-bisphosphate aldolase","K01624 FBA; fructose-bisphosphate aldolase, class II"
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,PHG416,cbbAp,"fructose-1,6-bisphosphate aldolase","K01624 FBA; fructose-bisphosphate aldolase, class II"
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_A0999,fbp,"Fructose-1,6-bisphosphatase","K03841 FBP; fructose-1,6-bisphosphatase I"
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,PHG422,cbbFp,"fructose-1,6-bisphosphate","K01086 fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase"
Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,H16_B1390,cbbF2,"Fructose-1,6-/sedoheptulose-1,7-bisphosphatase","K01086 fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase"
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_A2758,h16_A2758,altronate dehydratase,K01685 uxaA; altronate hydrolase
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_B0321,h16_B0321,altronate dehydratase,K01685 uxaA; altronate hydrolase
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_A1259,h16_A1259,D-Galactarate dehydratase,K16849 uxaA1; altronate dehydratase small subunit
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_A1258,h16_A1258,D-Galactarate dehydratase,K16850 uxaA2; altronate dehydratase large subunit
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_A1935,rspA,"L-Alanine-DL-glutamate epimerase, muconate lactonizing enzyme",K08323 rspA; mannonate dehydratase
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_A1934,tdh,threonine dehydrogenase (Zn dependent),K08322 rspB; L-gulonate 5-dehydrogenase
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_A1937,mtlD,mannitol dehydrogenase,K00040 uxuB; fructuronate reductase
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_A0802,ugd,UDP-glucose 6-dehydrogenase,K00012 UGDH; UDPglucose 6-dehydrogenase
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_A2752,galU,UTP-glucose-1-phosphate uridylyltransferase,K00963 UGP2; UTP--glucose-1-phosphate uridylyltransferase
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_B1391,cbbE2,Ribulose-phosphate 3-epimerase,K01783 rpe; ribulose-phosphate 3-epimerase
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_A3317,rpe,Ribulose-phosphate 3-epimerase,K01783 rpe; ribulose-phosphate 3-epimerase
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,PHG423,cbbEp,ribulose-5-phosphate 3-epimerase,K01783 rpe; ribulose-phosphate 3-epimerase
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_A3186,h16_A3186,"aldehyde reductase, related to diketogulonate reductase",K00011 AKR1B; aldehyde reductase
Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,H16_B0322,h16_B0322,"aldehyde dehydrogenase, NAD-dependent","K13877 aldH; 2,5-dioxopentanoate dehydrogenase"
